step_detect,mtk,2026-06-11_17-43-30.077_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2079546475,3,1.0
2079547150,3,1.0
2079547936,3,1.0
2079549235,3,1.0
2079570716,3,1.0
2079571412,3,1.0
2079572036,3,1.0
2079572711,3,1.0
2079573315,3,1.0
2079574010,3,1.0
2079574615,3,1.0
2079575270,3,1.0
2079575915,3,1.0
2079576519,3,1.0
2079577154,3,1.0
2079577778,3,1.0
2079578393,3,1.0
2079579018,3,1.0
2079579633,3,1.0
2079580278,3,1.0
2079580913,3,1.0
2079581516,3,1.0
2079582131,3,1.0
2079582750,3,1.0
2079583369,3,1.0
2079584050,3,1.0
2079584272,3,1.0
2079584649,3,1.0
2079585289,3,1.0
2079585874,3,1.0
2079586553,3,1.0
2079587173,3,1.0
2079587853,3,1.0
2079588493,3,1.0
2079589213,3,1.0
2079589833,3,1.0
2079590493,3,1.0
2079614472,3,1.0
2079615052,3,1.0
2079615751,3,1.0
2079616292,3,1.0
2079616951,3,1.0
2079617530,3,1.0
2079618109,3,1.0
2079618693,3,1.0
2079619294,3,1.0
2079619852,3,1.0
2079620452,3,1.0
2079621031,3,1.0
2079621612,3,1.0
2079622169,3,1.0
2079622790,3,1.0
2079623374,3,1.0
2079623932,3,1.0
2079624533,3,1.0
2079625111,3,1.0
2079625712,3,1.0
2079626290,3,1.0
2079626870,3,1.0
2079627529,3,1.0
2079628073,3,1.0
2079628769,3,1.0
2079629373,3,1.0
2079630074,3,1.0
2079630673,3,1.0
2079631414,3,1.0
2079632073,3,1.0
2079632789,3,1.0
2079654753,3,1.0
2079655373,3,1.0
2079655992,3,1.0
2079656572,3,1.0
2079657191,3,1.0
2079657772,3,1.0
2079658390,3,1.0
2079658970,3,1.0
2079659569,3,1.0
2079660193,3,1.0
2079660793,3,1.0
2079661412,3,1.0
2079662012,3,1.0
2079662611,3,1.0
2079663232,3,1.0
2079663831,3,1.0
2079664451,3,1.0
2079665070,3,1.0
2079665670,3,1.0
2079666289,3,1.0
2079666929,3,1.0
2079667534,3,1.0
2079668153,3,1.0
2079668793,3,1.0
2079669392,3,1.0
2079670012,3,1.0
2079670631,3,1.0
2079671292,3,1.0
2079671871,3,1.0
2079672532,3,1.0
2079723452,3,1.0
2079723991,3,1.0
2079724712,3,1.0
2079725371,3,1.0
2079725749,3,1.0
