icm4n607_gyro,iven_sense,2026-06-11_21-49-00.661_Active 10 Pro
imuTimestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
2094272341,3,-0.296175,-0.0279125,0.12979999
2094272351,3,-0.2151875,0.055275,0.2363625
2094272362,3,-0.11715,0.121275,0.357775
2094272372,3,-0.0116875,0.1522125,0.4717625
2094272382,3,0.069299996,0.1819125,0.5611375
2094272392,3,0.144925,0.1904375,0.6133875
2094272402,3,0.2035,0.1755875,0.6293375
2094272412,3,0.23333749,0.1511125,0.6122875
2094272422,3,0.2365,0.1255375,0.5654
2094272432,3,0.2237125,0.121275,0.491975
2094272442,3,0.1907125,0.1318625,0.4046625
2094272452,3,0.1384625,0.139425,0.3183125
2094272462,3,0.0724625,0.1403875,0.24805
2094272472,3,0.0011,0.1340625,0.189475
2094272482,3,-0.0435875,0.1266375,0.136125
2094272493,3,-0.041525,0.121275,0.086075
2094272503,3,-0.0020625,0.095699996,0.0275
2094272513,3,0.0650375,0.037125,-0.0193875
2094272523,3,0.1353,-0.0715,-0.05775
2094272533,3,0.2013,-0.165275,-0.0672375
2094272543,3,0.2600125,-0.1791625,-0.0427625
2094272553,3,0.3058,-0.165275,-0.0193875
2094272563,3,0.3185875,-0.165275,-0.02475
2094272573,3,0.293975,-0.2068,-0.0449625
2094272583,3,0.25355,-0.2217875,-0.0545875
2094272593,3,0.192775,-0.1876875,-0.050325
2094272603,3,0.0873125,-0.132275,-0.0257125
2094272613,3,-0.0682,-0.0928125,0.01265
2094272623,3,-0.25355,-0.097075,0.051975
2094272634,3,-0.4483875,-0.0939125,0.0840125
2094272644,3,-0.6018375,-0.100375,0.0829125
2094272654,3,-0.6967125,-0.1035375,0.1095875
2094272664,3,-0.7616125,-0.1376375,0.1511125
2094272674,3,-0.8031375,-0.1854875,0.2000625
2094272684,3,-0.82555,-0.218625,0.2256375
2094272694,3,-0.82981247,-0.2195875,0.1989625
2094272704,3,-0.801075,-0.19085,0.1095875
2094272714,3,-0.7616125,-0.176,0.014712499
2094272724,3,-0.7084,-0.1461625,-0.0385
2094272734,3,-0.6529875,-0.1120625,-0.066275
2094272744,3,-0.598675,-0.0939125,-0.0512875
2094272754,3,-0.528275,-0.0523875,0.01265
2094272765,3,-0.4676375,0.0083875,0.11275
2094272775,3,-0.3931125,0.04455,0.21175
2094272785,3,-0.2673,0.084975,0.288475
2094272795,3,-0.123475,0.120175,0.3375625
2094272805,3,0.0149875,0.1351625,0.36519998
2094272815,3,0.15235,0.1500125,0.3705625
2094272825,3,0.28655,0.1766875,0.3672625
2094272835,3,0.38665,0.1969,0.3524125
2094272845,3,0.4420625,0.2000625,0.324775
2094272855,3,0.45595,0.1926375,0.2831125
2094272865,3,0.430375,0.1681625,0.256575
2094272875,3,0.42075,0.1170125,0.29067498
2094272885,3,0.4505875,0.0669625,0.3513125
2094272895,3,0.516725,-0.0012375,0.4131875
2094272906,3,0.5966125,-0.0779625,0.4621375
2094272916,3,0.68076247,-0.1291125,0.4940375
2094272926,3,0.7541875,-0.166375,0.4983
2094272936,3,0.799975,-0.18975,0.4877125
2094272946,3,0.7979125,-0.2143625,0.4791875
2094272956,3,0.76065,-0.2451625,0.490875
2094272966,3,0.6881875,-0.2611125,0.51755
2094272976,3,0.5858875,-0.2536875,0.55055
2094272986,3,0.45705,-0.2388375,0.57928747
2094272996,3,0.3089625,-0.22605,0.58575
2094273006,3,0.180125,-0.2814625,0.5900125
2094273016,3,0.078925,-0.418825,0.593175
2094273026,3,0.0,-0.570075,0.576125
2094273037,3,-0.050049998,-0.71389997,0.523875
2094273047,3,-0.073425,-0.8119375,0.441925
2094273057,3,-0.095837496,-0.7948875,0.3257375
2094273067,3,-0.11605,-0.7096375,0.18727499
2094273077,3,-0.1192125,-0.6106375,0.0594
2094273087,3,-0.0724625,-0.52965,-0.0427625
2094273097,3,0.0543125,-0.469975,-0.165275
2094273107,3,0.2600125,-0.3645125,-0.3070375
2094273117,3,0.5198875,-0.1876875,-0.434775
2094273127,3,0.786225,-0.0012375,-0.518925
2094273137,3,1.0151625,0.105325,-0.5572875
2094273147,3,1.2016125,0.1766875,-0.5786
2094273157,3,1.3476375,0.2193125,-0.5839625
2094273167,3,1.443475,0.1766875,-0.539275
2094273178,3,1.5126375,0.1681625,-0.46365
2094273188,3,1.543575,0.1841125,-0.3878875
2094273198,3,1.5137374,0.1659625,-0.3144625
2094273208,3,1.4370124,0.1425875,-0.26221249
2094273218,3,1.3220625,0.1489125,-0.2547875
2094273228,3,1.2090375,0.2352625,-0.3048375
2094273238,3,1.140975,0.4643375,-0.4230875
2094273248,3,1.1132,0.744425,-0.5902875
2094273258,3,1.09615,0.9158875,-0.739475
2094273268,3,1.088725,0.9372,-0.8193625
2094273278,3,1.0940875,0.8584125,-0.839575
2094273288,3,1.0929875,0.7167875,-0.825825
2094273298,3,1.0813,0.576125,-0.76725
2094273309,3,1.0610875,0.473825,-0.67347497
2094273319,3,1.02905,0.41745,-0.5732375
2094273329,3,0.9821625,0.36313748,-0.46254998
2094273339,3,0.9119,0.3001625,-0.3400375
2094273349,3,0.8309125,0.2448875,-0.217525
2094273359,3,0.7467625,0.21395,-0.0842875
2094273369,3,0.6754,0.2682625,0.071225
2094273379,3,0.617925,0.42061248,0.24805
2094273389,3,0.5614125,0.4728625,0.424875
2094273399,3,0.49115,0.3768875,0.57722497
2094273409,3,0.395175,0.2074875,0.68365
2094273419,3,0.297275,0.0732875,0.7583125
2094273429,3,0.2066625,0.0169125,0.8061625
2094273439,3,0.1310375,-1.375E-4,0.8254125
2094273450,3,0.08525,0.0499125,0.813725
2094273460,3,0.0639375,0.1841125,0.7646375
2094273470,3,0.0576125,0.324775,0.7071625
2094273480,3,0.052249998,0.3620375,0.64955
2094273490,3,0.0298375,0.3097875,0.5889125
2094273500,3,-0.007425,0.2831125,0.5377625
2094273510,3,-0.0554125,0.31625,0.48235
2094273520,3,-0.1117875,0.3865125,0.390775
2094273530,3,-0.1703625,0.45581248,0.2426875
2094273540,3,-0.2459875,0.474925,0.0616
2094273550,3,-0.3312375,0.390775,-0.1280125
2094273560,3,-0.4186875,0.2831125,-0.3315125
2094273570,3,-0.45595,0.24585,-0.553025
2094273581,3,-0.413325,0.2992,-0.7693125
2094273591,3,-0.3004375,0.407825,-0.9631875
2094273601,3,-0.1640375,0.5314375,-1.0995874
2094273611,3,-0.08305,0.5707625,-1.146475
2094273621,3,-0.0606375,0.4610375,-1.1176
2094273631,3,-0.11715,0.204325,-1.0313874
2094273641,3,-0.19167499,-0.028875,-0.9046125
2094273651,3,-0.21835,-0.1056,-0.756525
2094273661,3,-0.2151875,-0.12595,-0.5988125
2094273671,3,-0.1896125,-0.102437496,-0.4785
