step_detect,mtk,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2013223920,3,1.0
2013224262,3,1.0
2013224679,3,1.0
2013225118,3,1.0
2013225481,3,1.0
2013225818,3,1.0
2013226241,3,1.0
2013226740,3,1.0
2013227042,3,1.0
2013227379,3,1.0
2013227762,3,1.0
2013228241,3,1.0
2013228860,3,1.0
2013229258,3,1.0
2013229722,3,1.0
2013230381,3,1.0
2013230779,3,1.0
2013231257,3,1.0
2013231560,3,1.0
2013232079,3,1.0
2013232321,3,1.0
2013233081,3,1.0
2013233439,3,1.0
2013233802,3,1.0
2013234219,3,1.0
2013235222,3,1.0
2013235243,3,1.0
2013235942,3,1.0
2013235962,3,1.0
2013236300,3,1.0
2013236663,3,1.0
2013237402,3,1.0
2013237720,3,1.0
2013238098,3,1.0
2013238839,3,1.0
2013239181,3,1.0
2013240259,3,1.0
2013240601,3,1.0
2013240958,3,1.0
2013241699,3,1.0
2013242042,3,1.0
2013242399,3,1.0
2013243160,3,1.0
2013243462,3,1.0
2013244560,3,1.0
2013244842,3,1.0
2013245220,3,1.0
2013245940,3,1.0
2013246660,3,1.0
2013247381,3,1.0
2013247698,3,1.0
2013248080,3,1.0
2013248801,3,1.0
2013249078,3,1.0
2013249501,3,1.0
2013250242,3,1.0
2013250922,3,1.0
2013250942,3,1.0
2013251642,3,1.0
2013251959,3,1.0
2013252342,3,1.0
2013253123,3,1.0
2013253359,3,1.0
2013254538,3,1.0
2013254840,3,1.0
2013255218,3,1.0
2013255641,3,1.0
2013256639,3,1.0
2013257359,3,1.0
2013257681,3,1.0
2013258799,3,1.0
2013259101,3,1.0
2013259862,3,1.0
2013260461,3,1.0
2013261519,3,1.0
2013261861,3,1.0
2013262219,3,1.0
2013262643,3,1.0
2013263241,3,1.0
2013264063,3,1.0
2013264682,3,1.0
2013265820,3,1.0
2013265840,3,1.0
2013266102,3,1.0
2013266501,3,1.0
2013266878,3,1.0
2013267538,3,1.0
2013267921,3,1.0
2013268621,3,1.0
2013268918,3,1.0
2013269719,3,1.0
2013270339,3,1.0
2013271099,3,1.0
2013272142,3,1.0
2013272862,3,1.0
2013273159,3,1.0
2013273522,3,1.0
2013273939,3,1.0
2013274560,3,1.0
2013274983,3,1.0
2013275702,3,1.0
2013275722,3,1.0
2013276060,3,1.0
2013276423,3,1.0
2013276821,3,1.0
2013277461,3,1.0
2013278579,3,1.0
2013279299,3,1.0
2013279682,3,1.0
2013280719,3,1.0
2013281102,3,1.0
2013281742,3,1.0
2013282502,3,1.0
2013283142,3,1.0
2013283902,3,1.0
2013284522,3,1.0
2013285282,3,1.0
2013285902,3,1.0
2013286300,3,1.0
2013286920,3,1.0
2013287303,3,1.0
2013287760,3,1.0
2013288360,3,1.0
2013289201,3,1.0
2013289700,3,1.0
2013290380,3,1.0
2013290782,3,1.0
2013291201,3,1.0
2013292239,3,1.0
2013292259,3,1.0
2013293039,3,1.0
2013293301,3,1.0
2013293800,3,1.0
2013294379,3,1.0
2013295059,3,1.0
2013295442,3,1.0
2013295699,3,1.0
2013296222,3,1.0
2013296540,3,1.0
2013296903,3,1.0
2013297340,3,1.0
2013297658,3,1.0
2013297981,3,1.0
2013298358,3,1.0
2013298781,3,1.0
2013299421,3,1.0
2013299799,3,1.0
2013300242,3,1.0
2013301239,3,1.0
2013301259,3,1.0
2013302020,3,1.0
2013302720,3,1.0
2013303159,3,1.0
2013303818,3,1.0
2013304861,3,1.0
2013305218,3,1.0
2013305939,3,1.0
2013306281,3,1.0
2013306619,3,1.0
2013306941,3,1.0
2013307299,3,1.0
2013307661,3,1.0
2013307979,3,1.0
2013308341,3,1.0
2013308739,3,1.0
2013309399,3,1.0
2013309782,3,1.0
