step_count,mtk,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2013220339,3,1132.0
2013227379,3,1142.0
2013232381,3,1153.0
2013237382,3,1163.0
2013242379,3,1173.0
2013247381,3,1182.0
2013252382,3,1193.0
2013257378,3,1201.0
2013262380,3,1209.0
2013267382,3,1218.0
2013272378,3,1226.0
2013277380,3,1237.0
2013282381,3,1244.0
2013287378,3,1253.0
2013292380,3,1262.0
2013297381,3,1273.0
2013302383,3,1283.0
2013307379,3,1293.0
2013312380,3,1305.0
2013317382,3,1315.0
2013322379,3,1326.0
2013327380,3,1337.0
2013332382,3,1347.0
2013337378,3,1356.0
2013342379,3,1363.0
2013347381,3,1372.0
2013352382,3,1378.0
2013357379,3,1387.0
2013362381,3,1397.0
2013367382,3,1406.0
2013372379,3,1416.0
2013377380,3,1425.0
2013382381,3,1431.0
2013387378,3,1439.0
2013392380,3,1445.0
2013398781,3,1455.0
2013403783,3,1464.0
2013408779,3,1475.0
