rot_vec,mtk,2026-06-10_23-18-08.487_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
2013221274,3,-0.073986,0.19131,0.977603,0.047096,0.0
2013221284,3,-0.074156,0.195929,0.976843,0.043474,0.0
2013221294,3,-0.074587,0.200623,0.976035,0.039278,0.0
2013221304,3,-0.075355,0.205446,0.975148,0.034633,0.0
2013221314,3,-0.076557,0.210446,0.974148,0.029777,0.0
2013221324,3,-0.07829,0.215656,0.973007,0.024897,0.0
2013221334,3,-0.083293,0.220451,0.971614,0.020691,0.0
2013221345,3,-0.088014,0.225347,0.970158,0.016242,0.0
2013221355,3,-0.092269,0.230196,0.96869,0.011619,0.0
2013221365,3,-0.096105,0.235314,0.96713,0.006986,0.0
2013221375,3,-0.099798,0.240914,0.965398,0.002325,0.0
2013221385,3,0.103684,-0.247189,-0.963401,0.002247,0.0
2013221395,3,0.107232,-0.253778,-0.961274,0.006991,0.0
2013221405,3,0.106777,-0.25977,-0.959657,0.013239,0.0
2013221501,3,0.103662,-0.261236,-0.959493,0.019541,0.0
2013221511,3,0.097466,-0.264016,-0.959021,0.032756,0.0
2013221521,3,0.091943,-0.266688,-0.958306,0.04552,0.0
2013221531,3,0.086859,-0.269144,-0.957424,0.05793,0.0
2013221541,3,0.082269,-0.271366,-0.956414,0.069742,0.0
2013221551,3,0.077823,-0.273205,-0.955363,0.081138,0.0
2013221561,3,0.07387,-0.274627,-0.954317,0.091652,0.0
2013221571,3,0.070368,-0.275456,-0.953353,0.101435,0.0
2013221581,3,0.067289,-0.27548,-0.952535,0.110716,0.0
2013221591,3,0.064219,-0.274392,-0.951904,0.120257,0.0
2013221601,3,0.061442,-0.272126,-0.951522,0.129526,0.0
2013221612,3,0.05796,-0.270086,-0.951074,0.138387,0.0
2013221622,3,0.055277,-0.267223,-0.950699,0.147331,0.0
2013221632,3,0.056449,-0.260369,-0.950961,0.157143,0.0
2013221642,3,0.063096,-0.247396,-0.952034,0.168655,0.0
2013221652,3,0.070593,-0.232338,-0.953222,0.180008,0.0
2013221662,3,0.080544,-0.215794,-0.954149,0.191166,0.0
2013221672,3,0.092067,-0.198745,-0.954754,0.201164,0.0
2013221682,3,0.102432,-0.182324,-0.955052,0.210093,0.0
2013221692,3,0.110527,-0.167926,-0.955109,0.2176,0.0
2013221702,3,0.116015,-0.156539,-0.954965,0.223779,0.0
2013221712,3,0.119084,-0.148182,-0.954682,0.229001,0.0
2013221722,3,0.120512,-0.141717,-0.954253,0.23408,0.0
2013221732,3,0.121973,-0.135678,-0.953605,0.239478,0.0
2013221742,3,0.124789,-0.129277,-0.952737,0.24496,0.0
2013221753,3,0.128575,-0.122496,-0.951677,0.250546,0.0
2013221763,3,0.132465,-0.115783,-0.950481,0.256186,0.0
2013221773,3,0.135397,-0.10949,-0.949147,0.262294,0.0
2013221783,3,0.137617,-0.104103,-0.947747,0.268325,0.0
2013221793,3,0.139005,-0.099596,-0.946275,0.274447,0.0
2013221803,3,0.139978,-0.095848,-0.944703,0.280631,0.0
2013221813,3,0.141013,-0.092736,-0.943037,0.286696,0.0
2013221823,3,0.142239,-0.090266,-0.9413,0.292528,0.0
2013221833,3,0.143417,-0.08844,-0.939528,0.298154,0.0
2013221843,3,0.14432,-0.087211,-0.937716,0.303733,0.0
2013221853,3,0.145056,-0.086582,-0.93586,0.309235,0.0
2013221863,3,0.145564,-0.086538,-0.933966,0.314689,0.0
2013221873,3,0.146055,-0.087147,-0.932082,0.319837,0.0
2013221884,3,0.146671,-0.088333,-0.930205,0.324657,0.0
2013221894,3,0.147454,-0.090036,-0.928329,0.329172,0.0
2013221904,3,0.142298,-0.093208,-0.926953,0.334394,0.0
2013221914,3,0.13792,-0.096667,-0.925529,0.339157,0.0
2013221924,3,0.134733,-0.100403,-0.924075,0.343293,0.0
2013221934,3,0.132745,-0.103795,-0.922607,0.346988,0.0
2013221944,3,0.131765,-0.106685,-0.921136,0.350377,0.0
2013221954,3,0.13214,-0.109009,-0.919649,0.353412,0.0
2013221964,3,0.133725,-0.1108,-0.9182,0.356017,0.0
2013221974,3,0.136116,-0.112133,-0.916763,0.358388,0.0
2013221984,3,0.139204,-0.113219,-0.915307,0.360575,0.0
2013221994,3,0.142507,-0.114015,-0.913892,0.362619,0.0
2013222004,3,0.14545,-0.114638,-0.912485,0.36479,0.0
2013222014,3,0.148156,-0.115179,-0.911091,0.36701,0.0
2013222025,3,0.150675,-0.1157,-0.90973,0.36919,0.0
2013222035,3,0.153138,-0.116254,-0.908377,0.371328,0.0
2013222045,3,0.155158,-0.11679,-0.907045,0.373569,0.0
2013222055,3,0.156599,-0.117388,-0.905722,0.375984,0.0
2013222065,3,0.157765,-0.118066,-0.904431,0.378384,0.0
2013222075,3,0.158473,-0.118681,-0.903142,0.380964,0.0
2013222085,3,0.158862,-0.119187,-0.901918,0.383537,0.0
2013222095,3,0.158776,-0.119474,-0.900802,0.386097,0.0
2013222105,3,0.158453,-0.119764,-0.899784,0.388505,0.0
2013222115,3,0.158313,-0.120387,-0.898827,0.39058,0.0
2013222125,3,0.15875,-0.121525,-0.897885,0.392213,0.0
2013222135,3,0.15985,-0.123468,-0.896876,0.393466,0.0
2013222145,3,0.161338,-0.126172,-0.895766,0.394529,0.0
2013222155,3,0.163187,-0.12946,-0.894544,0.395474,0.0
2013222166,3,0.165849,-0.132846,-0.89324,0.396191,0.0
2013222176,3,0.169157,-0.136262,-0.891871,0.396715,0.0
2013222186,3,0.173213,-0.139351,-0.890469,0.39704,0.0
2013222196,3,0.177357,-0.141761,-0.889147,0.39732,0.0
2013222206,3,0.181201,-0.143663,-0.88791,0.397669,0.0
2013222216,3,0.18474,-0.145258,-0.886751,0.398048,0.0
2013222226,3,0.18804,-0.146403,-0.885761,0.398288,0.0
2013222236,3,0.191199,-0.147438,-0.884844,0.398441,0.0
2013222246,3,0.196179,-0.148458,-0.883671,0.398244,0.0
2013222256,3,0.200606,-0.149293,-0.882578,0.398149,0.0
2013222266,3,0.204729,-0.150088,-0.881591,0.397939,0.0
2013222276,3,0.208388,-0.150865,-0.880711,0.397694,0.0
2013222286,3,0.211689,-0.151659,-0.879941,0.397353,0.0
2013222297,3,0.214684,-0.15249,-0.879263,0.396929,0.0
2013222307,3,0.217634,-0.153419,-0.878623,0.396382,0.0
2013222317,3,0.21813,-0.15358,-0.878517,0.396283,0.0
2013222327,3,0.218822,-0.154545,-0.878153,0.396332,0.0
2013222337,3,0.21958,-0.156262,-0.877484,0.396719,0.0
2013222347,3,0.220665,-0.158518,-0.876471,0.397462,0.0
2013222357,3,0.221588,-0.160832,-0.875218,0.398778,0.0
2013222367,3,0.222138,-0.162803,-0.873854,0.400659,0.0
2013222377,3,0.222252,-0.164238,-0.872479,0.403,0.0
2013222387,3,0.222215,-0.165196,-0.87114,0.405516,0.0
2013222397,3,0.221609,-0.16569,-0.86993,0.408235,0.0
2013222407,3,0.220635,-0.165933,-0.86889,0.410872,0.0
2013222417,3,0.219326,-0.165934,-0.868109,0.413216,0.0
2013222427,3,0.21763,-0.165828,-0.867589,0.415243,0.0
2013222438,3,0.215396,-0.165522,-0.867414,0.416891,0.0
2013222448,3,0.212973,-0.165458,-0.867451,0.418083,0.0
2013222458,3,0.210098,-0.16556,-0.867725,0.418927,0.0
2013222468,3,0.207088,-0.166069,-0.868138,0.419368,0.0
2013222478,3,0.20399,-0.166929,-0.868709,0.419364,0.0
2013222488,3,0.200546,-0.168018,-0.869443,0.419068,0.0
2013222498,3,0.196671,-0.169211,-0.870334,0.418575,0.0
2013222508,3,0.19275,-0.170639,-0.871331,0.417744,0.0
2013222518,3,0.189084,-0.17227,-0.872376,0.416569,0.0
2013222528,3,0.185818,-0.174246,-0.873443,0.414978,0.0
2013222538,3,0.187533,-0.175544,-0.874288,0.411868,0.0
2013222548,3,0.189297,-0.176856,-0.875193,0.408564,0.0
2013222558,3,0.191421,-0.178175,-0.876152,0.404929,0.0
2013222569,3,0.193915,-0.179472,-0.877158,0.400973,0.0
2013222579,3,0.196671,-0.18073,-0.878204,0.396754,0.0
2013222589,3,0.199643,-0.181933,-0.879289,0.392292,0.0
2013222599,3,0.199667,-0.183002,-0.880749,0.388488,0.0
2013222609,3,0.200389,-0.183704,-0.882261,0.384331,0.0
2013222619,3,0.201551,-0.184261,-0.883797,0.379903,0.0
2013222629,3,0.202815,-0.184826,-0.885327,0.375366,0.0
2013222639,3,0.203998,-0.185584,-0.886779,0.370898,0.0
2013222649,3,0.205163,-0.186633,-0.888104,0.366532,0.0
2013222659,3,0.206094,-0.187985,-0.889286,0.36243,0.0
2013222669,3,0.206588,-0.189587,-0.890313,0.358775,0.0
2013222679,3,0.206558,-0.191451,-0.891169,0.355665,0.0
2013222689,3,0.206131,-0.193535,-0.891841,0.353091,0.0
2013222699,3,0.205397,-0.195869,-0.892343,0.350956,0.0
2013222710,3,0.204265,-0.198384,-0.892723,0.349234,0.0
2013222720,3,0.202647,-0.201063,-0.893024,0.34787,0.0
2013222730,3,0.200461,-0.203858,-0.893292,0.346821,0.0
2013222740,3,0.199318,-0.20515,-0.893801,0.345405,0.0
2013222750,3,0.197734,-0.206281,-0.894364,0.344182,0.0
2013222760,3,0.195895,-0.20736,-0.894964,0.343023,0.0
2013222770,3,0.193811,-0.208446,-0.895594,0.341902,0.0
2013222780,3,0.191496,-0.209572,-0.896234,0.34084,0.0
2013222790,3,0.188914,-0.21073,-0.896846,0.339957,0.0
2013222800,3,0.186025,-0.211852,-0.897398,0.339393,0.0
2013222810,3,0.182799,-0.212857,-0.897886,0.339228,0.0
2013222820,3,0.17929,-0.213792,-0.898318,0.339369,0.0
2013222830,3,0.175625,-0.214765,-0.898744,0.339543,0.0
2013222841,3,0.17166,-0.215674,-0.899212,0.339756,0.0
2013222851,3,0.167442,-0.216456,-0.899769,0.339888,0.0
2013222861,3,0.163152,-0.217199,-0.900435,0.339737,0.0
2013222871,3,0.158856,-0.217947,-0.901214,0.339228,0.0
