step_detect,mtk,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2077670078,3,1.0
2077670653,3,1.0
2077679136,3,1.0
2077680632,3,1.0
2077681075,3,1.0
2077681736,3,1.0
2077683076,3,1.0
2077683372,3,1.0
2077683634,3,1.0
2077684315,3,1.0
2077795675,3,1.0
2077798875,3,1.0
2077799912,3,1.0
2077800316,3,1.0
2077809635,3,1.0
