icm4n607_acc,iven_sense,2026-06-11_17-12-13.502_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2077665120,3,-2.39595,3.357,9.240001,1781187136696
2077665130,3,-2.4460502,3.5700002,9.018001,1781187136707
2077665140,3,-2.4490502,3.7189503,8.88105,1781187136717
2077665150,3,-2.43705,3.65895,8.90295,1781187136727
2077665160,3,-2.3719501,3.4699502,9.130051,1781187136737
2077665170,3,-2.3100002,3.24195,9.312,1781187136747
2077665180,3,-2.2759502,3.1030502,9.35505,1781187136757
2077665190,3,-2.2789502,3.144,9.247951,1781187136766
2077665200,3,-2.32905,3.28095,9.066,1781187136777
2077665211,3,-2.36505,3.4669502,8.88405,1781187136786
2077665221,3,-2.39805,3.5749502,8.86005,1781187136798
2077665231,3,-2.394,3.5490003,9.03195,1781187136808
2077665241,3,-2.3790002,3.4360502,9.259951,1781187136817
2077665251,3,-2.3770502,3.35205,9.37905,1781187136828
2077665261,3,-2.394,3.3330002,9.348001,1781187136838
2077665271,3,-2.38695,3.348,9.23295,1781187136848
2077665281,3,-2.367,3.3360002,9.109051,1781187136858
2077665291,3,-2.3170502,3.3289502,9.03495,1781187136868
2077665301,3,-2.3070002,3.35205,8.944051,1781187136878
2077665311,3,-2.3359501,3.417,8.87895,1781187136888
2077665321,3,-2.3749502,3.5149503,8.86695,1781187136898
2077665331,3,-2.391,3.62295,8.93595,1781187136909
2077665342,3,-2.4490502,3.6109502,9.03495,1781187136918
2077665352,3,-2.47305,3.4720502,9.219001,1781187136929
2077665362,3,-2.466,3.2899501,9.3820505,1781187136939
2077665372,3,-2.43195,3.1990502,9.406051,1781187136950
2077665382,3,-2.3820002,3.17805,9.315001,1781187136959
2077665392,3,-2.35305,3.25005,9.111,1781187136969
2077665402,3,-2.3389502,3.3930001,8.889001,1781187136979
2077665412,3,-2.3389502,3.4840503,8.73795,1781187136990
2077665422,3,-2.3149502,3.52005,8.628,1781187136999
2077665432,3,-2.298,3.45795,8.580001,1781187137010
2077665442,3,-2.226,3.3979502,8.644051,1781187137021
2077665452,3,-2.181,3.3450003,8.68305,1781187137031
2077665462,3,-2.181,3.3000002,8.65905,1781187137041
2077665473,3,-2.19495,3.3090003,8.652,1781187137051
2077665483,3,-2.22795,3.3760502,8.641951,1781187137061
