step_count,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2083938515,3,2430.0
2083948035,3,2440.0
2083953038,3,2447.0
2083958034,3,2455.0
2083961495,3,2459.0
