orientation,mtk,2026-06-11_18-56-46.727_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
2083939884,3,180.51976,-67.05885,-0.985668
2083939894,3,180.52898,-67.78547,-1.161318
2083939904,3,180.53659,-68.488815,-1.314631
2083939914,3,180.54231,-69.12508,-1.402707
2083939924,3,180.54329,-69.7602,-1.416136
2083939934,3,180.53908,-70.46128,-1.441172
2083939944,3,180.5318,-71.27403,-1.525991
2083939954,3,180.51714,-72.2263,-1.615537
2083939964,3,180.49327,-73.25998,-1.639654
2083939974,3,180.46533,-74.46769,-1.639459
2083939984,3,180.44106,-76.019226,-1.713456
2083939995,3,180.42798,-77.763176,-1.810946
2083940005,3,180.43526,-79.570755,-1.867643
2083940015,3,180.46434,-81.49647,-1.994334
2083940025,3,180.5169,-83.470695,-2.12652
2083940035,3,180.59045,-85.556206,-2.141342
2083940045,3,180.68065,-87.73417,-2.124346
2083940055,3,180.78482,-89.870865,-2.144382
2083940065,3,180.90141,-91.89532,-2.160763
2083940075,3,181.02078,-93.73439,-2.133214
2083940085,3,181.13718,-95.453514,-2.07543
2083940095,3,181.24905,-97.039604,-2.008895
2083940105,3,181.35652,-98.70363,-2.051817
2083940115,3,181.46243,-100.34509,-2.215188
2083940125,3,181.56938,-101.73067,-2.319995
2083940136,3,181.67303,-102.90391,-2.275322
2083940146,3,181.75978,-103.89345,-2.081018
2083940156,3,181.83002,-104.65403,-1.834717
2083940166,3,181.87616,-105.01349,-1.668333
2083940176,3,181.87573,-104.94471,-1.478109
2083940186,3,181.80962,-104.679,-1.125947
2083940196,3,181.67398,-104.26666,-0.646439
2083940206,3,181.47585,-103.76677,-0.131443
2083940216,3,181.2266,-103.1354,0.275288
2083940226,3,180.9475,-102.397026,0.515932
2083940236,3,180.64156,-101.60387,0.760616
2083940246,3,180.31076,-100.81052,1.190928
2083940256,3,179.97978,-100.11654,1.53822
2083940267,3,179.66621,-99.34849,1.785049
2083940277,3,179.37479,-98.501976,2.027393
2083940287,3,179.09853,-97.58052,2.236778
2083940297,3,178.82858,-96.778984,2.389289
2083940307,3,178.55603,-96.139725,2.512565
2083940317,3,178.28116,-95.432785,2.77029
2083940327,3,178.01018,-94.736374,3.012738
2083940337,3,177.74075,-94.052505,3.139344
2083940347,3,177.4705,-93.442726,3.25138
2083940357,3,177.1983,-92.90325,3.377315
2083940367,3,176.9227,-92.43327,3.494057
2083940377,3,176.64917,-92.0554,3.627501
2083940387,3,176.37701,-91.75894,3.768108
2083940398,3,176.1078,-91.4733,3.928446
2083940408,3,175.84576,-91.03568,4.219275
2083940418,3,175.59007,-90.51943,4.586244
2083940428,3,175.34088,-90.065765,4.891724
2083940438,3,175.1002,-89.72422,5.04903
2083940448,3,174.87183,-89.52246,5.055335
2083940458,3,174.64967,-89.45782,5.047922
2083940468,3,174.4339,-89.515076,5.145993
2083940478,3,174.22952,-89.6721,5.270423
2083940488,3,174.03596,-89.92349,5.348783
2083940498,3,173.8532,-90.246414,5.381084
2083940508,3,173.67961,-90.62941,5.335163
2083940518,3,173.50934,-91.094696,5.268886
2083940528,3,173.33772,-91.59644,5.225651
2083940539,3,173.16965,-92.06743,5.19887
2083940549,3,173.0074,-92.4416,5.106569
2083940559,3,172.8511,-92.63668,5.09676
2083940569,3,172.69757,-92.79968,5.131771
2083940579,3,172.5407,-92.94817,5.175628
2083940589,3,172.37558,-93.08347,5.33088
