gravity,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
885955882,3,-0.013997,-0.240761,9.800422
885955892,3,0.016234,-0.26313,9.799776
885955902,3,0.049387,-0.282561,9.799051
885955912,3,0.084573,-0.298352,9.798299
885955922,3,0.121906,-0.309563,9.797508
885955932,3,0.161009,-0.316082,9.796679
885955942,3,0.200998,-0.317966,9.795826
885955952,3,0.240943,-0.315397,9.794963
885955962,3,0.281125,-0.308804,9.794112
885955972,3,0.320481,-0.299485,9.793247
885955983,3,0.358309,-0.287495,9.792368
885955993,3,0.395243,-0.272688,9.791476
885956003,3,0.426285,-0.25361,9.790863
885956013,3,0.454927,-0.232204,9.790283
885956023,3,0.481792,-0.209017,9.789721
885956033,3,0.502894,-0.182393,9.789367
885956043,3,0.517569,-0.152731,9.789195
885956053,3,0.528649,-0.122564,9.789083
885956063,3,0.533318,-0.089677,9.789133
885956073,3,0.53246,-0.055352,9.789262
885956083,3,0.52915,-0.02161,9.789442
885956093,3,0.519836,0.013665,9.789721
885956103,3,0.504759,0.049703,9.790064
885956113,3,0.485152,0.085963,9.7904
885956124,3,0.460767,0.122118,9.790728
885956134,3,0.4317,0.158613,9.791044
885956144,3,0.398398,0.195031,9.79132
885956154,3,0.361198,0.230997,9.791535
885956164,3,0.320453,0.266532,9.791664
885956174,3,0.276547,0.301787,9.791681
885956184,3,0.229634,0.336726,9.791574
885956194,3,0.179519,0.371231,9.791347
885956204,3,0.130911,0.403203,9.790728
885956214,3,0.079923,0.434435,9.78999
885956224,3,0.026871,0.464732,9.789163
885956234,3,-0.024235,0.492435,9.788042
885956244,3,-0.073489,0.517828,9.786664
885956255,3,-0.124155,0.543287,9.785147
885956265,3,-0.17287,0.566622,9.783422
885956275,3,-0.219482,0.588349,9.781501
885956285,3,-0.266929,0.610824,9.779414
885956295,3,-0.312216,0.632259,9.777149
885956305,3,-0.354593,0.652425,9.77481
885956315,3,-0.39305,0.669779,9.77265
885956325,3,-0.42804,0.684811,9.770623
885956335,3,-0.459747,0.697806,9.768722
885956345,3,-0.487917,0.708636,9.767009
885956355,3,-0.513171,0.717868,9.765427
