icm4n607_acc,iven_sense,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
885955247,3,-0.22500001,0.21105,9.70695,1779995426826
885955257,3,-0.31095,0.28095,9.825001,1779995426835
885955267,3,-0.27,0.26595002,9.79395,1779995426846
885955277,3,-0.26805001,0.25905,9.777,1779995426856
885955288,3,-0.294,0.28800002,9.84105,1779995426866
885955298,3,-0.26805001,0.252,9.78195,1779995426876
885955308,3,-0.25095,0.28800002,9.79395,1779995426886
885955318,3,-0.14595,0.41205,9.802951,1779995426896
885955328,3,0.033,0.57795,9.81,1779995426906
885955338,3,0.17205001,0.64005005,9.8560505,1779995426916
885955348,3,0.23205002,0.693,9.82905,1779995426926
885955358,3,0.26805001,0.70695,9.79395,1779995426936
885955368,3,0.22005,0.71400005,9.784051,1779995426946
885955378,3,0.15495001,0.68100005,9.790951,1779995426956
885955388,3,0.097950004,0.606,9.81,1779995426967
885955398,3,0.079050004,0.56595004,9.81,1779995426977
885955408,3,0.07395,0.59400004,9.765,1779995426985
885955418,3,0.069000006,0.62805,9.80595,1779995426997
885955429,3,0.055050004,0.633,9.817051,1779995427007
885955439,3,0.043050002,0.573,9.774,1779995427017
885955449,3,0.00405,0.51105005,9.82905,1779995427027
885955459,3,-0.049950004,0.49095002,9.813001,1779995427037
885955469,3,-0.097950004,0.40800002,9.769951,1779995427045
885955479,3,-0.16695,0.31905,9.798,1779995427056
885955489,3,-0.201,0.28800002,9.82905,1779995427065
885955499,3,-0.21300001,0.33105,9.81,1779995427077
885955509,3,-0.165,0.43605003,9.78195,1779995427087
885955519,3,-0.14805001,0.47700003,9.79605,1779995427096
885955529,3,-0.16005,0.42405003,9.79395,1779995427107
885955539,3,-0.21705002,0.37605003,9.80595,1779995427117
885955549,3,-0.28005,0.312,9.814951,1779995427126
885955559,3,-0.351,0.20700002,9.80805,1779995427137
885955570,3,-0.411,0.132,9.8560505,1779995427146
885955580,3,-0.48795003,0.04605,9.84105,1779995427165
885955590,3,-0.531,-0.07005,9.80595,1779995427169
885955600,3,-0.648,-0.21900001,9.834001,1779995427178
885955610,3,-0.79905003,-0.37695003,9.84405,1779995427186
885955620,3,-0.78195006,-0.58005005,9.772051,1779995427197
885955630,3,-0.80205005,-0.84105,9.784051,1779995427207
885955640,3,-0.90195006,-1.263,9.870001,1779995427216
885955650,3,-1.0309501,-1.9399501,9.83895,1779995427226
885955660,3,-0.94995004,-2.2369502,9.913051,1779995427235
885955670,3,-0.55695003,-1.93305,9.70995,1779995427246
885955680,3,-0.55695003,-1.1380501,9.80805,1779995427257
885955690,3,-0.54105,-1.06095,9.906,1779995427266
885955700,3,-0.57195,-1.2360001,9.52305,1779995427277
885955711,3,-0.61995006,-1.626,9.82695,1779995427288
885955721,3,-0.56205004,-2.2350001,9.738001,1779995427298
885955731,3,-0.24105,-2.6580002,9.70005,1779995427309
885955741,3,0.23895001,-2.32995,9.999001,1779995427319
885955751,3,0.62700003,-1.77495,9.561001,1779995427330
885955761,3,-0.16905001,-1.3939501,10.167001,1779995427339
885955771,3,-2.2050002,-2.4430501,10.372951,1779995427349
885955781,3,-4.479,-6.25395,9.36705,1779995427358
885955791,3,-7.1509504,-11.503051,9.172951,1779995427370
885955801,3,-9.030001,-11.28495,11.90505,1779995427379
885955811,3,-10.017,-10.309951,8.769,1779995427388
885955821,3,-10.77795,-8.59095,9.139951,1779995427400
885955831,3,-10.809001,-7.0680003,11.08905,1779995427410
885955842,3,-10.72605,-5.27505,9.97095,1779995427419
885955852,3,-9.97605,-2.838,10.464001,1779995427430
885955862,3,-9.34605,-0.65205,9.01095,1779995427439
885955872,3,-8.86005,-0.03195,10.12905,1779995427450
885955882,3,-8.133,-0.087000005,9.42,1779995427459
885955892,3,-8.049001,0.30705002,10.950001,1779995427470
885955902,3,-7.3879504,0.61395,9.56595,1779995427480
885955912,3,-7.0459504,0.79305005,9.99495,1779995427488
885955922,3,-6.543,0.87705004,10.033051,1779995427500
885955932,3,-6.09,0.94605005,9.1380005,1779995427510
885955942,3,-5.90805,1.24605,10.002001,1779995427519
885955952,3,-5.44395,1.401,9.87495,1779995427531
885955962,3,-5.07495,1.5300001,9.693001,1779995427540
885955972,3,-4.7059503,1.6530001,9.784051,1779995427550
885955983,3,-4.4620504,1.83,10.18605,1779995427561
885955993,3,-4.17705,1.9039501,10.134001,1779995427570
885956003,3,-3.8419502,1.9159501,9.20205,1779995427581
885956013,3,-3.6700501,2.148,10.02795,1779995427591
885956023,3,-3.4350002,2.256,10.086,1779995427601
885956033,3,-3.21495,2.2459502,9.561001,1779995427611
885956043,3,-3.11205,2.361,9.918,1779995427621
885956053,3,-2.9659503,2.5120502,10.239,1779995427631
885956063,3,-2.7889502,2.3850002,9.52095,1779995427641
885956073,3,-2.6449502,2.436,9.646951,1779995427651
885956083,3,-2.667,2.5170002,10.213051,1779995427662
885956093,3,-2.53305,2.436,9.595051,1779995427672
885956103,3,-2.4460502,2.4430501,9.640051,1779995427684
885956113,3,-2.43195,2.5170002,10.01895,1779995427699
885956124,3,-2.4510002,2.493,9.913051,1779995427701
885956134,3,-2.35995,2.4880502,9.801001,1779995427713
885956144,3,-2.26395,2.424,9.592051,1779995427722
885956154,3,-2.26005,2.3830502,9.64305,1779995427731
885956164,3,-2.3050501,2.4739501,10.1650505,1779995427743
885956174,3,-2.3050501,2.49495,10.095,1779995427752
885956184,3,-2.29605,2.3779502,9.71895,1779995427763
885956194,3,-2.49405,2.2800002,9.93,1779995427773
885956204,3,-2.463,1.8079501,9.777,1779995427784
885956214,3,-2.19705,1.4629501,9.37905,1779995427793
885956224,3,-2.0320501,1.4080501,10.035001,1779995427803
885956234,3,-2.05095,1.4989501,10.098001,1779995427813
885956244,3,-1.9150501,1.437,9.38895,1779995427823
885956255,3,-1.95105,1.7389501,10.033051,1779995427833
885956265,3,-1.9099501,1.5330001,9.75,1779995427843
885956275,3,-1.8430501,1.7050501,9.946951,1779995427853
885956285,3,-1.8070501,1.84395,9.66705,1779995427863
885956295,3,-1.77795,2.1049502,10.059,1779995427873
885956305,3,-1.10595,1.5660001,9.937051,1779995427883
885956315,3,0.079050004,-0.16605,9.492001,1779995427893
885956325,3,-0.15495001,0.12495001,9.880051,1779995427903
885956335,3,-0.36795002,0.36900002,10.011001,1779995427914
885956345,3,0.00405,0.123,9.576,1779995427923
885956355,3,-0.42795002,0.45795003,9.774,1779995427933
885956365,3,-0.24795002,0.22095,10.17405,1779995427943
885956375,3,-0.25305,0.31695002,9.540001,1779995427955
885956385,3,-0.25605002,0.19695,9.99495,1779995427964
885956396,3,-0.282,0.321,9.669001,1779995427973
885956406,3,-0.28905,0.36495003,9.66705,1779995427984
885956416,3,-0.31605002,0.19500001,9.925051,1779995427993
885956426,3,-0.27705002,0.22995001,9.849001,1779995428003
885956436,3,-0.28395,0.29700002,9.906,1779995428014
885956446,3,-0.294,0.28995,9.8220005,1779995428023
