rot_vec,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),x*sin(a/2)[],y*sin(a/2)[],z*sin(a/2)[],cos(a/2)[],heading_accuracy[rad]
885955469,3,0.021799,0.006138,0.136084,0.990438,0.0
885955479,3,0.021669,0.006261,0.141582,0.989669,0.0
885955489,3,0.021493,0.006491,0.147388,0.988823,0.0
885955499,3,0.021397,0.00675,0.153368,0.987914,0.0
885955509,3,0.021539,0.006924,0.159348,0.986963,0.0
885955519,3,0.021746,0.007027,0.165191,0.985996,0.0
885955529,3,0.021852,0.007166,0.171313,0.984948,0.0
885955539,3,0.021836,0.007439,0.177629,0.983827,0.0
885955549,3,0.021659,0.007731,0.183654,0.982721,0.0
885955559,3,0.021242,0.00813,0.189748,0.981569,0.0
885955570,3,0.020654,0.008567,0.19556,0.980436,0.0
885955580,3,0.019874,0.009085,0.201181,0.97931,0.0
885955590,3,0.018863,0.009621,0.206474,0.978222,0.0
885955600,3,0.017539,0.010395,0.211608,0.977141,0.0
885955610,3,0.015897,0.01144,0.21653,0.976079,0.0
885955620,3,0.013875,0.012301,0.22055,0.975199,0.0
885955630,3,0.011389,0.013039,0.223484,0.974553,0.0
885955640,3,0.008124,0.013772,0.225403,0.974134,0.0
885955650,3,0.003604,0.0144,0.225952,0.974025,0.0
885955660,3,-0.001268,0.014713,0.22482,0.974288,0.0
885955670,3,-0.005359,0.014353,0.22223,0.974873,0.0
885955680,3,-0.007759,0.014521,0.218429,0.975713,0.0
885955690,3,-0.009994,0.014351,0.212348,0.977037,0.0
885955700,3,-0.012683,0.014124,0.204092,0.978767,0.0
885955711,3,-0.01602,0.013867,0.19349,0.980873,0.0
885955721,3,-0.020556,0.013015,0.179217,0.983508,0.0
885955731,3,-0.025776,0.011549,0.161762,0.986425,0.0
885955741,3,-0.029992,0.009214,0.140275,0.989615,0.0
885955751,3,-0.033095,0.006235,0.115116,0.992781,0.0
885955761,3,-0.035403,0.004715,0.084802,0.995757,0.0
885955771,3,-0.03609,0.002786,0.050902,0.998047,0.0
885955781,3,-0.036773,1.22E-4,0.012736,0.999242,0.0
885955791,3,-0.037652,-0.002309,-0.030145,0.998833,0.0
885955801,3,-0.038293,-0.004801,-0.076645,0.996311,0.0
885955811,3,-0.039132,-0.008364,-0.128968,0.990841,0.0
885955821,3,-0.03935,-0.010943,-0.183008,0.982262,0.0
885955831,3,-0.039396,-0.013817,-0.23924,0.970062,0.0
885955842,3,-0.039564,-0.016889,-0.294787,0.954594,0.0
885955852,3,-0.039514,-0.021012,-0.351309,0.935189,0.0
885955862,3,-0.039612,-0.024374,-0.405594,0.912868,0.0
885955872,3,-0.038207,-0.027642,-0.45884,0.887266,0.0
885955882,3,-0.03708,-0.030315,-0.508211,0.859899,0.0
885955892,3,-0.036284,-0.033736,-0.555478,0.830053,0.0
885955902,3,-0.034802,-0.037189,-0.5999,0.798451,0.0
885955912,3,-0.032964,-0.03931,-0.63952,0.76706,0.0
885955922,3,-0.031356,-0.04148,-0.675709,0.735331,0.0
885955932,3,-0.031023,-0.042231,-0.707175,0.705093,0.0
885955942,3,-0.031673,-0.041588,-0.733774,0.677378,0.0
885955952,3,-0.033987,-0.038932,-0.754953,0.653738,0.0
885955962,3,-0.038264,-0.033848,-0.769769,0.636274,0.0
885955972,3,-0.043579,-0.02732,-0.77747,0.626813,0.0
885955983,3,-0.045533,-0.025099,-0.773489,0.631672,0.0
885955993,3,-0.036754,-0.042851,-0.764873,0.641702,0.0
885956003,3,-0.013357,-0.071686,-0.774176,0.628755,0.0
885956013,3,-0.00887,-0.082878,-0.79297,0.60353,0.0
885956023,3,-0.019581,-0.088376,-0.810554,0.578625,0.0
885956033,3,-0.044797,-0.096609,-0.828717,0.549442,0.0
885956043,3,-0.077434,-0.105514,-0.846951,0.515308,0.0
885956053,3,-0.125398,-0.117322,-0.864162,0.473004,0.0
885956063,3,-0.160605,-0.123624,-0.881343,0.426797,0.0
885956073,3,-0.193233,-0.127239,-0.897718,0.374929,0.0
885956083,3,-0.234064,-0.130574,-0.908345,0.321048,0.0
885956093,3,-0.256464,-0.12973,-0.92024,0.265619,0.0
885956103,3,-0.273832,-0.127587,-0.929867,0.209961,0.0
885956113,3,-0.286153,-0.124283,-0.937487,0.154232,0.0
885956124,3,-0.293297,-0.120397,-0.943108,0.100133,0.0
885956134,3,-0.296644,-0.116761,-0.946569,0.048736,0.0
885956144,3,-0.295942,-0.113172,-0.948477,9.13E-4,0.0
885956154,3,0.291762,0.110042,0.949199,0.042264,0.0
885956164,3,0.284879,0.10767,0.949094,0.080441,0.0
885956174,3,0.276267,0.10634,0.948404,0.113563,0.0
885956184,3,0.265962,0.106014,0.947712,0.140946,0.0
885956194,3,0.254499,0.106283,0.947251,0.163241,0.0
885956204,3,0.242514,0.106266,0.947055,0.181601,0.0
885956214,3,0.23044,0.10603,0.947113,0.196547,0.0
885956224,3,0.218839,0.105621,0.947283,0.208825,0.0
885956234,3,0.207685,0.105464,0.947432,0.219352,0.0
885956244,3,0.196721,0.105505,0.947709,0.228069,0.0
885956255,3,0.186366,0.105787,0.947933,0.235582,0.0
885956265,3,0.176358,0.105675,0.948264,0.24192,0.0
885956275,3,0.16697,0.105763,0.948586,0.247223,0.0
885956285,3,0.158055,0.10607,0.948912,0.251659,0.0
885956295,3,0.149827,0.106592,0.94929,0.255025,0.0
885956305,3,0.142813,0.105735,0.949879,0.257201,0.0
885956315,3,0.137445,0.100911,0.950819,0.258588,0.0
885956325,3,0.131761,0.09713,0.951629,0.26001,0.0
885956335,3,0.126079,0.094079,0.952303,0.261478,0.0
885956345,3,0.121206,0.0904,0.952941,0.262751,0.0
885956355,3,0.115751,0.087848,0.953489,0.264085,0.0
885956365,3,0.110823,0.084821,0.954052,0.265154,0.0
885956375,3,0.106161,0.08211,0.954553,0.266111,0.0
885956385,3,0.101559,0.079274,0.955028,0.267059,0.0
885956396,3,0.097115,0.076862,0.955451,0.267906,0.0
885956406,3,0.092816,0.074582,0.955843,0.268673,0.0
885956416,3,0.088581,0.07205,0.956246,0.26936,0.0
885956426,3,0.084614,0.069712,0.9566,0.269993,0.0
885956436,3,0.080836,0.067587,0.956908,0.270597,0.0
885956446,3,0.077194,0.065571,0.95721,0.271087,0.0
885956456,3,0.073801,0.063454,0.957501,0.27151,0.0
885956466,3,0.070548,0.06148,0.957731,0.272019,0.0
885956476,3,0.067398,0.059512,0.957957,0.272457,0.0
885956486,3,0.064189,0.057632,0.958152,0.272949,0.0
885956496,3,0.060809,0.055426,0.958393,0.273334,0.0
885956506,3,0.057129,0.05272,0.95868,0.273657,0.0
885956516,3,0.052918,0.049356,0.958959,0.274154,0.0
885956526,3,0.048304,0.046072,0.959227,0.274638,0.0
885956537,3,0.043262,0.045201,0.959393,0.275043,0.0
885956547,3,0.038214,0.047334,0.959565,0.274833,0.0
885956557,3,0.033735,0.051316,0.95986,0.273673,0.0
885956567,3,0.029753,0.055838,0.960382,0.271407,0.0
885956577,3,0.026366,0.059486,0.96122,0.267995,0.0
885956587,3,0.023104,0.060964,0.962244,0.264262,0.0
885956597,3,0.019977,0.060184,0.963256,0.260988,0.0
885956607,3,0.017357,0.057902,0.964149,0.258384,0.0
885956617,3,0.01526,0.055094,0.96485,0.256505,0.0
885956627,3,0.013576,0.052569,0.965316,0.255375,0.0
885956637,3,0.012363,0.050965,0.965521,0.254985,0.0
885956647,3,0.011495,0.050161,0.965523,0.255178,0.0
885956657,3,0.011056,0.049266,0.965397,0.255846,0.0
885956668,3,0.010796,0.048032,0.965125,0.257118,0.0
885956678,3,0.010505,0.046847,0.96475,0.258748,0.0
885956688,3,0.010056,0.046885,0.96417,0.260912,0.0
885956698,3,0.009167,0.048883,0.963409,0.26338,0.0
885956708,3,0.007948,0.051557,0.962663,0.265627,0.0
885956718,3,0.006787,0.053321,0.961964,0.267833,0.0
885956728,3,0.005915,0.053699,0.961342,0.270004,0.0
885956738,3,0.004941,0.053646,0.960689,0.272347,0.0
885956748,3,0.003565,0.053459,0.959945,0.275017,0.0
885956758,3,0.002286,0.053481,0.959057,0.278105,0.0
885956768,3,0.001309,0.053756,0.958013,0.281634,0.0
885956778,3,8.8E-4,0.054022,0.956869,0.285448,0.0
885956788,3,0.001035,0.054326,0.955548,0.289784,0.0
885956798,3,0.001582,0.054937,0.954068,0.294502,0.0
885956809,3,0.002477,0.055695,0.952524,0.299315,0.0
885956819,3,0.003435,0.056641,0.950822,0.304493,0.0
885956829,3,0.004782,0.058098,0.948959,0.309963,0.0
885956839,3,0.006445,0.059502,0.946956,0.31574,0.0
885956849,3,0.007878,0.060618,0.944855,0.321733,0.0
885956859,3,0.009114,0.061108,0.942821,0.32752,0.0
885956869,3,0.010229,0.061185,0.940783,0.333284,0.0
885956879,3,0.011385,0.0612,0.938689,0.339098,0.0
885956889,3,0.012316,0.061248,0.936586,0.344822,0.0
885956899,3,0.01307,0.061684,0.934518,0.350285,0.0
885956909,3,0.013459,0.062197,0.932603,0.355248,0.0
885956919,3,0.013476,0.062235,0.930816,0.359897,0.0
885956929,3,0.012998,0.061703,0.929211,0.364129,0.0
885956939,3,0.011943,0.060848,0.927764,0.367977,0.0
885956950,3,0.009841,0.059708,0.926549,0.371272,0.0
885956960,3,0.007083,0.058419,0.925528,0.374076,0.0
885956970,3,0.003231,0.057097,0.924707,0.376357,0.0
885956980,3,-0.002309,0.056465,0.924061,0.378042,0.0
885956990,3,-0.009738,0.057238,0.923618,0.378889,0.0
885957000,3,-0.019895,0.06106,0.923391,0.378449,0.0
885957010,3,-0.031788,0.066905,0.923402,0.376619,0.0
885957020,3,-0.045851,0.074804,0.923758,0.37279,0.0
885957030,3,-0.060808,0.083223,0.924469,0.367059,0.0
885957040,3,-0.077282,0.092358,0.925839,0.358215,0.0
885957050,3,-0.093668,0.100103,0.927754,0.347098,0.0
885957060,3,-0.109971,0.106748,0.930586,0.332445,0.0
885957070,3,-0.125194,0.112397,0.934082,0.314934,0.0
885957081,3,-0.137669,0.114895,0.939896,0.290587,0.0
885957091,3,-0.1479,0.114842,0.946962,0.26115,0.0
885957101,3,-0.156675,0.112529,0.954733,0.226437,0.0
885957111,3,-0.162008,0.10749,0.96295,0.186881,0.0
885957121,3,-0.163446,0.100239,0.970852,0.143817,0.0
885957131,3,-0.160519,0.091276,0.97782,0.098841,0.0
885957141,3,-0.153983,0.081599,0.983217,0.053976,0.0
885957151,3,-0.145756,0.072409,0.986612,0.010423,0.0
885957161,3,0.135821,-0.06395,-0.988172,0.03127,0.0
885957171,3,0.12469,-0.056442,-0.988114,0.06997,0.0
885957181,3,0.112684,-0.049384,-0.986902,0.104338,0.0
885957191,3,0.100466,-0.042642,-0.985118,0.132773,0.0
885957201,3,0.088815,-0.036516,-0.983286,0.154682,0.0
885957211,3,0.078289,-0.030996,-0.981538,0.171734,0.0
885957222,3,0.068972,-0.026405,-0.980005,0.184756,0.0
885957232,3,0.060747,-0.022285,-0.978597,0.195346,0.0
885957242,3,0.053077,-0.01795,-0.977462,0.203537,0.0
885957252,3,0.045632,-0.012781,-0.976616,0.209699,0.0
885957262,3,0.038075,-0.006671,-0.976193,0.21343,0.0
885957272,3,0.030705,2.44E-4,-0.976449,0.213548,0.0
885957282,3,0.03049,5.45E-4,-0.977104,0.210563,0.0
885957292,3,0.029615,0.001164,-0.978112,0.205954,0.0
885957302,3,0.027348,0.002395,-0.979244,0.200815,0.0
885957312,3,0.024057,0.004216,-0.980649,0.194242,0.0
885957322,3,0.020562,0.006205,-0.982823,0.183294,0.0
885957332,3,0.016696,0.008551,-0.985334,0.169599,0.0
885957342,3,0.012583,0.010969,-0.988113,0.152818,0.0
885957352,3,0.008609,0.013279,-0.991045,0.132581,0.0
885957363,3,0.00607,0.015358,-0.993626,0.111506,0.0
885957373,3,0.005409,0.016891,-0.995884,0.08888,0.0
885957383,3,0.007544,0.017296,-0.997809,0.063412,0.0
885957393,3,0.010552,0.017043,-0.999196,0.0347,0.0
885957403,3,-0.015324,-0.030558,0.999411,0.002663,0.0
885957413,3,-0.019838,-0.032284,0.99819,0.046697,0.0
885957423,3,-0.021599,-0.03483,0.994227,0.099156,0.0
885957433,3,-0.021653,-0.03801,0.987029,0.154465,0.0
885957443,3,-0.021005,-0.040668,0.975766,0.213975,0.0
885957453,3,-0.017922,-0.042885,0.96001,0.276079,0.0
885957463,3,-0.013551,-0.045695,0.940575,0.336222,0.0
