orientation,mtk,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),azimuth[deg],pitch[deg],roll[deg]
885955902,3,340.075,16.905663,-22.009317
885955912,3,341.55432,16.69017,-23.008589
885955922,3,343.24207,16.417593,-23.91734
885955932,3,345.09384,16.132633,-24.809923
885955942,3,347.08542,15.676916,-25.612635
885955952,3,349.1947,15.074111,-26.340206
885955962,3,351.40527,14.402658,-27.04432
885955972,3,353.69672,13.746227,-27.719774
885955983,3,356.05334,13.186677,-28.31732
885955993,3,358.45877,12.63265,-28.880117
885956003,3,0.910522,12.064223,-29.430212
885956013,3,3.416351,11.356903,-29.9123
885956023,3,5.979858,10.508416,-30.361706
885956033,3,8.605377,9.595041,-30.862978
885956043,3,11.315843,8.714402,-31.400864
885956053,3,14.142373,7.885882,-31.893543
885956063,3,17.136688,7.185481,-32.350636
885956073,3,20.411327,6.27147,-32.523182
885956083,3,24.12362,4.575809,-32.27352
885956093,3,28.477732,1.891821,-31.6653
885956103,3,33.717556,-0.759177,-30.94184
885956113,3,40.19851,-3.233494,-29.704405
885956124,3,48.437386,-5.351138,-28.347683
885956134,3,58.959484,-7.20356,-27.094328
885956144,3,71.92283,-8.677673,-25.738855
885956154,3,86.78358,-9.691271,-24.524479
885956164,3,102.75375,-10.241937,-23.280361
885956174,3,119.09993,-10.716804,-22.188917
885956184,3,135.20338,-11.166427,-21.18075
885956194,3,150.44125,-11.572361,-20.295647
885956204,3,164.10262,-11.786738,-19.440042
885956214,3,175.49591,-11.935556,-18.643436
885956224,3,184.3149,-12.034394,-17.862967
885956234,3,190.92734,-12.098994,-17.107761
885956244,3,195.89664,-12.158964,-16.4424
885956255,3,199.68584,-12.215281,-15.818935
885956265,3,202.60999,-12.213417,-15.258605
885956275,3,204.89107,-12.216648,-14.743714
885956285,3,206.67151,-12.2402,-14.294669
885956295,3,208.06105,-12.280532,-13.867229
885956305,3,209.14857,-12.18614,-13.348661
885956315,3,209.98875,-11.777206,-12.714821
885956325,3,210.6383,-11.387597,-12.144388
885956335,3,211.14108,-11.02,-11.621895
885956345,3,211.5341,-10.612719,-11.077998
885956355,3,211.83574,-10.242296,-10.639042
885956365,3,212.06714,-9.812382,-10.159395
885956375,3,212.24275,-9.41566,-9.729901
885956385,3,212.37091,-8.982893,-9.298241
885956396,3,212.45831,-8.579245,-8.884062
885956406,3,212.51088,-8.183091,-8.486594
885956416,3,212.53293,-7.742723,-8.098931
885956426,3,212.52916,-7.3119,-7.697172
885956436,3,212.50394,-6.889889,-7.307592
885956446,3,212.46338,-6.475742,-6.933558
885956456,3,212.41284,-6.058338,-6.548736
885956466,3,212.35786,-5.641044,-6.164593
885956476,3,212.3012,-5.210923,-5.772882
885956486,3,212.24611,-4.789672,-5.38797
885956496,3,212.19395,-4.343464,-4.987896
885956506,3,212.14429,-3.92185,-4.613734
885956516,3,212.10207,-3.469904,-4.328964
885956526,3,212.06767,-3.016417,-4.13643
885956537,3,212.03995,-2.739708,-4.056362
885956547,3,212.01778,-2.739508,-4.102378
885956557,3,212.00232,-2.868822,-4.180812
885956567,3,211.99196,-3.123506,-4.266495
885956577,3,211.9827,-3.289351,-4.317318
885956587,3,211.97264,-3.21893,-4.297589
885956597,3,211.96173,-2.899373,-4.231644
885956607,3,211.95132,-2.558079,-4.2219
885956617,3,211.94301,-2.507385,-4.38098
885956627,3,211.93564,-2.429454,-4.466365
885956637,3,211.92929,-2.390003,-4.493779
885956647,3,211.9266,-2.470256,-4.57841
885956657,3,211.93352,-2.485318,-4.542615
885956668,3,211.95514,-2.516249,-4.523795
885956678,3,211.99088,-2.517108,-4.495527
885956688,3,212.04092,-2.646471,-4.521896
885956698,3,212.1071,-2.912759,-4.641896
885956708,3,212.19025,-3.223797,-4.814419
885956718,3,212.2919,-3.495592,-4.970395
885956728,3,212.41095,-3.640527,-5.090539
885956738,3,212.5464,-3.720679,-5.225407
885956748,3,212.69835,-3.772093,-5.396828
885956758,3,212.86913,-3.847265,-5.595628
885956768,3,213.05923,-3.936233,-5.790964
885956778,3,213.26715,-4.036412,-5.953824
885956788,3,213.4949,-4.147818,-6.075464
885956798,3,213.7442,-4.331825,-6.162082
885956809,3,214.01611,-4.592466,-6.211325
885956819,3,214.31206,-4.952451,-6.233924
885956829,3,214.63362,-5.37156,-6.199292
885956839,3,214.98177,-5.588162,-6.035462
885956849,3,215.3593,-5.501763,-5.796863
885956859,3,215.76772,-5.164146,-5.524322
885956869,3,216.2104,-4.68264,-5.242013
885956879,3,216.68927,-4.240956,-5.009539
885956889,3,217.19962,-4.005148,-4.872292
885956899,3,217.731,-4.002811,-4.818971
885956909,3,218.26895,-4.140117,-4.829238
885956919,3,218.8034,-4.285982,-4.870676
885956929,3,219.32199,-4.373647,-4.932034
885956939,3,219.81355,-4.377885,-5.008712
885956950,3,220.2587,-4.323167,-5.100345
885956960,3,220.63611,-4.291475,-5.222366
885956970,3,220.92822,-4.310866,-5.359277
885956980,3,221.12515,-4.342608,-5.490237
885956990,3,221.2269,-4.259348,-5.55237
885957000,3,221.23454,-4.014894,-5.494821
885957010,3,221.14241,-3.733302,-5.393153
885957020,3,220.92415,-3.541644,-5.312705
885957030,3,220.558,-3.467513,-5.249305
885957040,3,220.0298,-3.433529,-5.122888
885957050,3,219.34584,-3.352133,-4.879956
885957060,3,218.50067,-3.234426,-4.555612
885957070,3,217.46655,-3.118903,-4.183995
885957081,3,215.76324,-3.013778,-3.810862
885957091,3,213.68846,-2.900809,-3.440946
885957101,3,211.20943,-2.715719,-3.028716
885957111,3,208.27242,-2.485738,-2.579267
885957121,3,204.81082,-2.221128,-2.074195
885957131,3,200.72298,-1.908996,-1.569491
885957141,3,195.91957,-1.605084,-1.10798
885957151,3,190.39058,-1.350021,-0.656936
885957161,3,184.61125,-1.20429,-0.257381
885957171,3,178.372,-1.136575,0.123263
