stk3a5x_ps,sensortek,2026-05-28_22-10-22.697_Active 10 Pro
imuTimestamp,accuracy(more=better),proximity_distance[cm]
885954421,3,5.0
885963401,3,0.0
885964541,3,5.0
885966141,3,0.0
885966811,3,5.0
885967381,3,0.0
885967741,3,5.0
885972541,3,0.0
885973211,3,5.0
885984141,3,0.0
885984201,3,5.0
885984561,3,0.0
885984661,3,5.0
