linear_acc,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
2084887986,3,0.452103,0.134264,-0.105565
2084887996,3,0.463324,0.140037,-0.083239
2084888006,3,0.46183,0.160679,-0.075913
2084888017,3,0.458273,0.188239,-0.064369
2084888027,3,0.448851,0.214244,-0.061774
2084888037,3,0.432822,0.219981,-0.0604
2084888047,3,0.407358,0.198395,-0.063771
2084888057,3,0.374983,0.17704,-0.076426
2084888067,3,0.368046,0.158678,-0.077103
2084888077,3,0.354068,0.168123,-0.07509
2084888087,3,0.325392,0.186341,-0.069265
2084888097,3,0.279787,0.203213,-0.057456
2084888107,3,0.1928,0.23644,-0.031726
2084888117,3,0.111208,0.273428,0.004051
2084888127,3,0.038337,0.305891,0.023607
2084888137,3,-0.018682,0.310856,0.008862
2084888148,3,-0.022224,0.288589,-0.023172
2084888158,3,0.007758,0.280096,-0.079638
2084888168,3,0.055495,0.259894,-0.122895
2084888178,3,0.110795,0.224387,-0.165034
2084888188,3,0.17802,0.172486,-0.206025
2084888198,3,0.240035,0.120943,-0.244563
2084888208,3,0.284923,0.083155,-0.263901
2084888218,3,0.289613,0.046349,-0.280073
2084888228,3,0.282256,0.036504,-0.301631
2084888238,3,0.27139,0.041973,-0.332348
2084888248,3,0.264932,0.035429,-0.356284
2084888258,3,0.244698,0.036196,-0.368474
2084888268,3,0.207378,0.044024,-0.369478
2084888278,3,0.159327,0.05482,-0.366323
2084888289,3,0.127781,0.051709,-0.366289
2084888299,3,0.104714,0.056562,-0.387075
2084888309,3,0.088049,0.060636,-0.415133
2084888319,3,0.072354,0.066322,-0.45188
2084888329,3,0.056862,0.078148,-0.494812
2084888339,3,0.04268,0.101976,-0.537587
2084888349,3,0.024248,0.149766,-0.570976
2084888359,3,0.005544,0.181999,-0.588494
2084888369,3,-0.012994,0.213402,-0.604296
2084888379,3,-0.008224,0.212987,-0.630281
2084888389,3,0.019852,0.199249,-0.671116
2084888399,3,0.057572,0.189916,-0.723002
2084888409,3,0.098092,0.185771,-0.778365
