stk3a5x_ps,sensortek,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),proximity_distance[cm]
2084886623,3,5.0
2084892463,3,0.0
2084893793,3,5.0
2084894573,3,0.0
2084894673,3,5.0
2084894883,3,0.0
2084895093,3,5.0
