gravity,mtk,2026-06-11_19-12-34.865_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2084887996,3,-3.888725,7.604316,4.754616
2084888006,3,-3.767276,7.663484,4.752084
2084888017,3,-3.642079,7.72135,4.750552
2084888027,3,-3.511871,7.778353,4.750522
2084888037,3,-3.381572,7.833053,4.749474
2084888047,3,-3.249401,7.886099,4.748234
2084888057,3,-3.114913,7.939093,4.744826
2084888067,3,-2.975706,7.992507,4.740794
2084888077,3,-2.833581,8.046573,4.734469
2084888087,3,-2.69021,8.10144,4.724457
2084888097,3,-2.546826,8.157135,4.709804
2084888107,3,-2.404369,8.213739,4.689534
2084888117,3,-2.267765,8.272073,4.658556
2084888127,3,-2.137639,8.332292,4.615899
2084888137,3,-2.014657,8.394636,4.560446
2084888148,3,-1.899312,8.459134,4.491605
2084888158,3,-1.791968,8.525701,4.409144
2084888168,3,-1.691116,8.593491,4.315505
2084888178,3,-1.59551,8.661724,4.212762
2084888188,3,-1.503037,8.729345,4.103984
2084888198,3,-1.415869,8.796614,3.987182
2084888208,3,-1.331361,8.862414,3.866216
2084888218,3,-1.252402,8.927216,3.737975
2084888228,3,-1.179375,8.99096,3.602215
2084888238,3,-1.112333,9.053672,3.458451
2084888248,3,-1.051514,9.115213,3.306357
2084888258,3,-0.996985,9.175095,3.146235
2084888268,3,-0.948908,9.233126,2.977753
2084888278,3,-0.906841,9.288965,2.801122
2084888289,3,-0.870257,9.342277,2.616547
2084888299,3,-0.838937,9.392801,2.42406
2084888309,3,-0.81295,9.440214,2.223863
2084888319,3,-0.788365,9.483997,2.019365
2084888329,3,-0.765482,9.523818,1.810981
2084888339,3,-0.744563,9.559359,1.599851
2084888349,3,-0.725946,9.590441,1.387447
2084888359,3,-0.709818,9.617085,1.175283
2084888369,3,-0.697924,9.639917,0.962669
2084888379,3,-0.690534,9.659169,0.749943
2084888389,3,-0.687923,9.675138,0.536939
2084888399,3,-0.686948,9.687356,0.327477
2084888409,3,-0.689736,9.696709,0.119605
2084888420,3,-0.6963,9.702554,-0.081988
2084888430,3,-0.706103,9.70522,-0.276071
2084888440,3,-0.718732,9.704988,-0.461261
2084888450,3,-0.733526,9.702188,-0.636233
2084888460,3,-0.749577,9.697187,-0.799734
2084888470,3,-0.765917,9.690392,-0.950667
