gravity,mtk,2026-06-10_23-21-52.699_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2013445834,3,-0.690725,1.754238,9.572791
2013445844,3,-0.718843,1.638205,9.599124
2013445854,3,-0.747366,1.539442,9.621339
2013445864,3,-0.776073,1.460021,9.638942
2013445874,3,-0.804588,1.401736,9.65143
2013445885,3,-0.832462,1.366155,9.658304
2013445895,3,-0.858607,1.354465,9.65918
2013445905,3,-0.88223,1.367715,9.653719
2013445915,3,-0.90363,1.406562,9.64166
2013445925,3,-0.924119,1.470139,9.623092
2013445935,3,-0.944017,1.55797,9.598092
2013445945,3,-0.964197,1.668796,9.566832
2013445955,3,-0.985339,1.800786,9.529568
2013445965,3,-1.006393,1.953181,9.486106
2013445975,3,-1.027334,2.123361,9.436656
2013445985,3,-1.047814,2.308574,9.381414
2013445995,3,-1.067368,2.506132,9.320558
2013446005,3,-1.085524,2.713499,9.254257
2013446015,3,-1.101898,2.928252,9.182696
2013446026,3,-1.116155,3.148013,9.106092
2013446036,3,-1.127925,3.370401,9.02474
2013446046,3,-1.136871,3.59314,8.939005
2013446056,3,-1.142644,3.81409,8.849355
2013446066,3,-1.144687,4.031399,8.756361
2013446076,3,-1.142429,4.243542,8.660666
2013446086,3,-1.135304,4.449282,8.56297
2013446096,3,-1.122933,4.647677,8.463984
2013446106,3,-1.105096,4.838043,8.364423
2013446116,3,-1.081762,5.019814,8.265004
2013446126,3,-1.051438,5.193604,8.166291
2013446136,3,-1.013938,5.359045,8.069011
2013446146,3,-0.968895,5.515963,7.973863
2013446156,3,-0.916404,5.664246,7.881449
2013446167,3,-0.858111,5.802304,7.792792
2013446177,3,-0.794339,5.930046,7.708476
2013446187,3,-0.72551,6.047405,7.629032
2013446282,3,-0.660744,6.148208,7.560912
2013446292,3,-0.606643,6.223797,7.511872
2013446303,3,-0.560936,6.272964,7.481996
2013446313,3,-0.525847,6.29801,7.468489
2013446323,3,-0.501034,6.298046,7.47119
2013446333,3,-0.487171,6.275987,7.487362
2013446343,3,-0.483698,6.233285,7.515614
2013446353,3,-0.489671,6.171554,7.554692
2013446363,3,-0.504066,6.092312,7.603581
2013446373,3,-0.526683,5.996645,7.66149
2013446383,3,-0.55747,5.885546,7.727696
2013446393,3,-0.596423,5.760037,7.801476
2013446403,3,-0.643609,5.621236,7.882058
2013446413,3,-0.698903,5.470607,7.968566
2013446423,3,-0.761908,5.310071,8.060018
2013446434,3,-0.831843,5.141789,8.155459
2013446444,3,-0.907575,4.967801,8.254072
2013446454,3,-0.987983,4.789881,8.355156
2013446464,3,-1.07201,4.609537,8.458087
2013446474,3,-1.158748,4.427971,8.562314
2013446484,3,-1.238836,4.252299,8.661339
2013446494,3,-1.305531,4.092016,8.747345
2013446504,3,-1.360994,3.949041,8.820174
2013446514,3,-1.403181,3.821649,8.882523
2013446524,3,-1.432962,3.711283,8.934381
2013446534,3,-1.449373,3.616826,8.97796
2013446544,3,-1.455733,3.536305,9.014542
2013446554,3,-1.45409,3.468539,9.045153
2013446564,3,-1.445993,3.41235,9.070653
2013446575,3,-1.431651,3.366941,9.091734
2013446585,3,-1.410985,3.331547,9.109023
2013446595,3,-1.384068,3.305402,9.123075
2013446605,3,-1.350899,3.287878,9.134371
2013446615,3,-1.31152,3.278375,9.14332
2013446625,3,-1.266341,3.276154,9.150254
2013446635,3,-1.216366,3.280402,9.155361
2013446645,3,-1.16299,3.290457,9.15864
2013446655,3,-1.106834,3.305045,9.160344
2013446665,3,-1.04894,3.323971,9.160295
