stk3a5x_ps,sensortek,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),proximity_distance[cm]
2094010223,3,5.0
2094012852,3,0.0
2094012962,3,5.0
2094013472,3,0.0
2094013522,3,5.0
2094013572,3,0.0
2094013732,3,5.0
2094014352,3,0.0
2094016462,3,5.0
2094019512,3,0.0
2094019562,3,5.0
2094019612,3,0.0
2094019722,3,5.0
2094185302,3,0.0
2094185402,3,5.0
2094187112,3,0.0
2094187262,3,5.0
2094187672,3,0.0
2094187782,3,5.0
2094187882,3,0.0
2094187982,3,5.0
