icm4n607_acc,iven_sense,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2],utcTimestamp(millis)
2094011180,3,-6.97095,5.52405,6.4030504,1781203482757
2094011190,3,-7.0480504,6.0750003,5.7640505,1781203482767
2094011200,3,-7.3999505,6.0079503,5.87895,1781203482779
2094011210,3,-7.7779503,5.3920503,6.93195,1781203482788
2094011221,3,-8.06595,4.5880504,7.8930006,1781203482799
2094011231,3,-8.125051,3.8719501,8.845051,1781203482808
2094011241,3,-8.034,3.31695,9.255,1781203482818
2094011251,3,-7.7179503,3.2730002,8.43795,1781203482829
2094011261,3,-7.1130004,3.357,6.6330004,1781203482838
2094011271,3,-6.9619503,3.5370002,5.18895,1781203482849
2094011281,3,-6.912,3.42705,4.51905,1781203482859
2094011291,3,-6.9090004,3.6160502,5.20095,1781203482869
2094011301,3,-7.0960503,3.8100002,6.97305,1781203482879
2094011311,3,-7.0189505,3.85995,8.508,1781203482889
2094011321,3,-7.1200504,3.8719501,9.18105,1781203482899
2094011331,3,-6.97095,3.726,8.508,1781203482909
2094011341,3,-6.71505,4.06395,7.05495,1781203482919
2094011351,3,-6.4350004,4.42005,5.6080503,1781203482931
2094011362,3,-6.3180003,4.67595,4.5430503,1781203482940
2094011372,3,-6.3679504,4.49895,4.0740004,1781203482949
2094011382,3,-6.30105,3.8220003,4.3710003,1781203482959
2094011392,3,-6.4879503,3.4819503,5.2450504,1781203482970
2094011402,3,-6.7540503,3.4939501,6.1399503,1781203482979
2094011412,3,-6.80595,3.86505,6.6280503,1781203482989
2094011422,3,-6.7939506,4.4440503,6.4680004,1781203483000
2094011432,3,-6.8920503,4.93695,6.162,1781203483010
2094011442,3,-6.6940503,5.0880003,5.841,1781203483021
2094011452,3,-6.3750005,4.93305,5.6590505,1781203483030
2094011462,3,-6.31995,4.48995,5.2450504,1781203483041
2094011472,3,-6.30105,4.176,5.06505,1781203483050
2094011482,3,-6.40605,4.0950003,5.3239503,1781203483060
2094011493,3,-6.564,3.9799502,5.3380504,1781203483070
2094011503,3,-6.59805,4.104,4.8850503,1781203483080
2094011513,3,-6.47805,4.3650002,4.25805,1781203483090
2094011523,3,-6.50505,4.5259504,3.51795,1781203483100
2094011533,3,-6.4230003,4.74405,2.9509501,1781203483110
2094011543,3,-6.3469505,5.004,2.7829502,1781203483121
2094011553,3,-6.53805,5.26095,3.08505,1781203483131
2094011563,3,-6.576,5.45205,3.7219503,1781203483141
2094011573,3,-6.4420505,5.6460004,4.263,1781203483151
2094011583,3,-6.2790003,5.9290504,4.04295,1781203483161
2094011593,3,-6.5809503,7.04895,3.1900501,1781203483171
2094011603,3,-6.46395,6.9630003,2.12505,1781203483181
2094011613,3,-6.1650004,6.4750504,2.05095,1781203483191
2094011623,3,-6.2320504,6.0150003,2.601,1781203483201
2094011634,3,-6.2749505,5.4349504,3.4750502,1781203483212
2094011644,3,-6.0540004,5.71605,3.73095,1781203483222
2094011654,3,-6.01905,6.3499503,3.9949503,1781203483232
2094011664,3,-6.43305,6.1800003,3.9559503,1781203483242
2094011674,3,-6.2790003,6.0529504,3.6360002,1781203483252
2094011684,3,-6.339,6.63,3.3769503,1781203483262
2094011694,3,-6.06405,7.1640005,3.387,1781203483272
2094011704,3,-5.5729504,7.25295,3.6499503,1781203483282
2094011714,3,-5.5519505,7.43205,3.2380502,1781203483292
2094011724,3,-5.748,7.2769504,2.637,1781203483302
2094011734,3,-5.9440503,7.4230504,1.8520501,1781203483312
2094011744,3,-6.0259504,8.064,0.74295,1781203483321
2094011754,3,-6.3130503,8.656051,0.09705,1781203483332
2094011765,3,-6.5020504,8.919001,0.11100001,1781203483341
2094011775,3,-6.6769505,9.148951,0.55395,1781203483352
2094011785,3,-6.7660503,9.03195,1.2030001,1781203483361
2094011795,3,-7.04295,8.896951,2.1460502,1781203483372
2094011805,3,-7.2970505,8.884951,2.7949502,1781203483381
2094011815,3,-7.4050503,8.63595,2.6440501,1781203483392
2094011825,3,-7.3159504,8.410951,1.9960501,1781203483403
2094011835,3,-6.8250003,7.7820005,1.24905,1781203483411
2094011845,3,-6.28905,7.3030505,-0.04605,1781203483422
2094011855,3,-6.696,7.4869504,-0.49800003,1781203483434
2094011865,3,-6.52605,7.5280504,0.19005,1781203483441
2094011906,3,-5.61105,6.78105,1.3300501,1781203483481
2094011916,3,-4.9339504,6.537,1.4830501,1781203483491
2094011926,3,-4.8499503,6.88395,1.8880501,1781203483501
2094011936,3,-4.24905,7.22205,2.8290002,1781203483511
2094011946,3,-3.7780502,7.6500006,3.1279502,1781203483522
2094011956,3,-3.7699502,8.42595,2.874,1781203483534
2094011966,3,-3.8710501,8.59305,1.6200001,1781203483542
2094011976,3,-3.72705,8.445001,0.46605003,1781203483553
2094011986,3,-3.9,8.689051,0.18105,1781203483563
2094011996,3,-4.22805,8.48295,0.669,1781203483572
2094012006,3,-4.4380503,8.292001,1.5340501,1781203483582
2094012016,3,-4.7260504,8.13795,1.74195,1781203483593
2094012026,3,-5.09205,8.30805,1.7040001,1781203483603
2094012037,3,-5.2639503,8.229,1.70595,1781203483613
2094012047,3,-5.53695,8.3869505,1.9620001,1781203483623
2094012057,3,-5.8099504,8.502001,1.3039501,1781203483633
2094012067,3,-6.1930504,8.50695,0.85095006,1781203483643
2094012077,3,-6.0930004,8.052,1.3230001,1781203483653
2094012087,3,-6.19605,7.6260004,1.6510501,1781203483663
2094012097,3,-6.4999504,7.4370003,1.2580501,1781203483678
2094012107,3,-6.43305,7.4230504,0.81795,1781203483683
2094012117,3,-6.25605,7.5810003,0.33900002,1781203483693
2094012127,3,-6.102,8.083051,-0.37800002,1781203483704
2094012137,3,-6.18795,8.731951,-1.38405,1781203483713
2094012147,3,-5.87505,8.577001,-1.6279501,1781203483724
2094012157,3,-5.8290005,8.502001,-1.8700501,1781203483734
2094012167,3,-6.1860003,8.34195,-2.3730001,1781203483744
2094012178,3,-6.3490505,8.364,-1.91295,1781203483754
2094012188,3,-6.6000004,8.89305,-1.113,1781203483764
2094012198,3,-6.873,9.184951,-0.63195,1781203483774
2094012208,3,-7.1410503,9.618,-0.12195001,1781203483784
2094012218,3,-7.8790503,9.88605,-0.60105,1781203483794
2094012228,3,-8.68305,9.654,0.27405003,1781203483804
2094012238,3,-9.17205,9.831,0.16605,1781203483814
2094012248,3,-8.62605,9.90495,-1.5109501,1781203483824
2094012258,3,-8.908051,10.132951,-1.6279501,1781203483834
2094012268,3,-8.508,10.593,-2.1430502,1781203483845
