gravity,mtk,2026-06-11_21-44-38.484_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
2094011583,3,-6.889203,5.775899,3.877704
2094011593,3,-6.914937,5.809226,3.779777
2094011603,3,-6.937561,5.845275,3.678915
2094011613,3,-6.957647,5.883647,3.574615
2094011623,3,-6.97602,5.922892,3.467735
2094011634,3,-6.993389,5.961285,3.360147
2094011644,3,-7.009998,5.99809,3.253086
2094011654,3,-7.025947,6.033097,3.147502
2094011664,3,-7.041394,6.066075,3.044391
2094011674,3,-7.056119,6.097483,2.944382
2094011684,3,-7.069812,6.128175,2.847319
2094011694,3,-7.081721,6.159116,2.753753
2094011704,3,-7.091107,6.190615,2.665295
2094011714,3,-7.097519,6.222531,2.583189
2094011724,3,-7.101041,6.253768,2.508898
2094011734,3,-7.101439,6.284449,2.442266
2094011744,3,-7.098435,6.315165,2.382198
2094011754,3,-7.091882,6.34646,2.327615
2094011765,3,-7.083181,6.376959,2.278837
2094011775,3,-7.073035,6.406749,2.233912
2094011785,3,-7.06198,6.435651,2.191732
2094011795,3,-7.050522,6.462966,2.152378
2094011805,3,-7.038621,6.488515,2.116412
2094011815,3,-7.026115,6.512745,2.083485
2094011825,3,-7.012658,6.536507,2.05274
2094011835,3,-6.997662,6.561163,2.02211
2094011845,3,-6.981862,6.586637,1.988942
2094011855,3,-6.96613,6.612554,1.950711
2094011865,3,-6.950233,6.639358,1.906342
2094011956,3,-6.933351,6.667058,1.861591
2094011966,3,-6.914404,6.697202,1.813499
2094011976,3,-6.89388,6.729678,1.759747
2094011986,3,-6.872312,6.764361,1.698229
2094011996,3,-6.850088,6.800931,1.628772
2094012006,3,-6.827173,6.839248,1.552699
2094012016,3,-6.803597,6.878874,1.471805
2094012026,3,-6.779368,6.919076,1.388704
2094012037,3,-6.754291,6.959367,1.306119
2094012047,3,-6.727311,7.000993,1.224505
2094012057,3,-6.698287,7.043616,1.145356
2094012067,3,-6.667138,7.086901,1.069971
