game_rotvec,mtk,2026-06-11_17-50-21.438_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
2079953152,3,0.188004,-0.028701,0.005494,0.981733
2079953162,3,0.187303,-0.028483,0.005433,0.981873
2079953172,3,0.185242,-0.029087,0.005485,0.982247
2079953182,3,0.184167,-0.029536,0.005535,0.982435
2079953192,3,0.182541,-0.030237,0.005617,0.982717
2079953202,3,0.181722,-0.030842,0.005703,0.982849
2079953212,3,0.181978,-0.032138,0.005951,0.982759
2079953223,3,0.183147,-0.032791,0.00611,0.982519
2079953233,3,0.185021,-0.032301,0.006083,0.982184
2079953243,3,0.186026,-0.031591,0.005983,0.982018
2079953253,3,0.185927,-0.031582,0.00598,0.982037
2079953263,3,0.186413,-0.03126,0.005935,0.981956
2079953273,3,0.185645,-0.030965,0.005851,0.982111
2079953283,3,0.185526,-0.030628,0.005783,0.982144
2079953293,3,0.186432,-0.030387,0.005769,0.98198
2079953303,3,0.187226,-0.030702,0.005854,0.981819
2079953313,3,0.188237,-0.030893,0.005922,0.981619
2079953323,3,0.188917,-0.031529,0.00607,0.981467
2079953333,3,0.188966,-0.030259,0.005711,0.9815
2079953343,3,0.188938,-0.029013,0.005354,0.981545
2079953354,3,0.188859,-0.027803,0.005004,0.981597
2079953364,3,0.188725,-0.026642,0.004677,0.981657
2079953374,3,0.188589,-0.025506,0.00436,0.981714
2079953384,3,0.188462,-0.024402,0.004033,0.981768
2079953394,3,0.188383,-0.023291,0.003678,0.981812
2079953404,3,0.18832,-0.022174,0.003318,0.981851
2079953414,3,0.188279,-0.021045,0.00296,0.981885
2079953424,3,0.188226,-0.019928,0.002615,0.981919
2079953434,3,0.188168,-0.018856,0.00228,0.981953
2079953444,3,0.188065,-0.017814,0.001953,0.981992
2079953454,3,0.187936,-0.016813,0.001633,0.982035
2079953464,3,0.1878,-0.015863,0.001314,0.982078
2079953474,3,0.187662,-0.014911,9.99E-4,0.982119
2079953484,3,0.187502,-0.013992,6.9E-4,0.982164
2079953495,3,0.18732,-0.013109,3.86E-4,0.982211
2079953505,3,0.187144,-0.012272,1.22E-4,0.982255
2079953515,3,0.186952,-0.01151,-2.44E-4,0.982301
2079953525,3,0.186764,-0.010812,-5.17E-4,0.982345
2079953535,3,0.186582,-0.010153,-8.09E-4,0.982386
2079953545,3,0.186377,-0.009497,-0.001098,0.982431
2079953555,3,0.186146,-0.008874,-0.001397,0.982481
2079953565,3,0.185885,-0.00827,-0.001655,0.982535
2079953575,3,0.185605,-0.00768,-0.001902,0.982592
2079953585,3,0.185324,-0.007122,-0.002135,0.982649
2079953595,3,0.185078,-0.00659,-0.002379,0.982698
2079953605,3,0.184873,-0.006087,-0.002635,0.98274
2079953615,3,0.184741,-0.005616,-0.002932,0.982766
2079953626,3,0.184627,-0.005155,-0.003245,0.982789
2079953636,3,0.184486,-0.004694,-0.003579,0.982817
2079953646,3,0.18427,-0.004225,-0.003927,0.982858
2079953656,3,0.183976,-0.003788,-0.004279,0.982914
2079953666,3,0.183607,-0.003452,-0.00463,0.982982
2079953676,3,0.183152,-0.003282,-0.004997,0.983066
2079953686,3,0.182595,-0.003329,-0.005397,0.983167
2079953696,3,0.181942,-0.003651,-0.005859,0.983284
2079953706,3,0.181083,-0.004346,-0.006385,0.983437
