location due to GPS and WiFi+Cell,2026-06-11_17-04-59.349_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
2077272696,gps,55.67344333333334,37.55858833333333,1,1.5,1,217.9,1,29.89,1,4.498672,1781186744000,2077272645296818
2077272979,network,55.6733181,37.558675,1,23.314,1,222.70001220703125,0,0.0,0,0.0,1781186743232,2077271881000000
2077273722,gps,55.673485,37.558625,1,1.5,1,217.8,1,27.74,1,4.597499,1781186745000,2077273649978434
2077274711,gps,55.67352833333333,37.558661666666666,1,1.5,1,217.8,1,28.44,1,4.6685305,1781186746000,2077274650634742
2077275712,gps,55.673570000000005,37.558708333333335,1,1.5,1,217.4,1,31.43,1,4.7822843,1781186747000,2077275649302126
2077276718,gps,55.673613333333336,37.55876166666667,1,1.5,1,216.4,1,29.28,1,4.901185,1781186748000,2077276653995972
2077277720,gps,55.673656666666666,37.55881,1,1.5,1,215.7,1,31.2,1,5.018027,1781186749000,2077277654476896
2077278708,gps,55.67369999999999,37.558856666666664,1,1.5,1,215.3,1,32.96,1,5.1281776,1781186750000,2077278649166050
2077279712,gps,55.67374333333334,37.558904999999996,1,1.5,1,214.7,1,31.99,1,5.231122,1781186751000,2077279651947280
2077280705,gps,55.673786666666665,37.558955,1,1.4,1,214.0,1,29.94,1,5.3448753,1781186752000,2077280649903588
2077281717,gps,55.67383333333334,37.559,1,1.4,1,213.4,1,24.06,1,5.435467,1781186753000,2077281652698434
2077282712,gps,55.67387999999999,37.559043333333335,1,1.4,1,212.9,1,26.26,1,5.492601,1781186754000,2077282650619896
2077283714,gps,55.67392333333334,37.559095,1,1.4,1,212.4,1,34.8,1,5.545617,1781186755000,2077283650542665
2077284724,gps,55.673963333333326,37.55914833333333,1,1.4,1,211.8,1,34.88,1,5.5955453,1781186756000,2077284650733511
2077285708,gps,55.67400666666667,37.55919666666667,1,1.4,1,211.4,1,31.48,1,5.619737,1781186757000,2077285649012204
2077286716,gps,55.67404833333333,37.559243333333335,1,1.4,1,211.0,1,31.57,1,5.632605,1781186758000,2077286650210665
2077287711,gps,55.67409166666666,37.55929166666667,1,1.4,1,210.6,1,30.71,1,5.655768,1781186759000,2077287649493742
2077288717,gps,55.67413666666666,37.55934,1,1.4,1,210.1,1,29.63,1,5.672239,1781186760000,2077288652112589
2077289730,gps,55.67418166666666,37.55939,1,1.4,1,209.7,1,29.8,1,5.6948867,1781186761000,2077289651077204
2077290708,gps,55.67422666666666,37.559441666666665,1,1.4,1,209.4,1,34.76,1,5.7041516,1781186762000,2077290651957127
2077291715,gps,55.67427166666666,37.55949833333333,1,1.4,1,208.2,1,32.44,1,5.688195,1781186763000,2077291651135050
2077292723,gps,55.67431666666666,37.55955166666667,1,1.4,1,207.4,1,28.47,1,5.692313,1781186764000,2077292653347050
2077293347,network,55.6744422,37.5589574,1,40.154,1,217.40000915527344,0,0.0,0,0.0,1781186763950,2077292599000000
2077293715,gps,55.674365,37.55959,1,1.4,1,206.8,1,20.13,1,5.7376084,1781186765000,2077293652365204
2077294729,gps,55.67441333333333,37.55963333333333,1,1.4,1,206.4,1,29.79,1,5.7551093,1781186766000,2077294650054050
2077295714,gps,55.67445333333333,37.55968666666667,1,1.4,1,206.2,1,40.45,1,5.7638593,1781186767000,2077295650358051
2077296713,gps,55.67449499999999,37.559745,1,1.4,1,205.6,1,34.74,1,5.7839336,1781186768000,2077296650927281
2077297717,gps,55.67453999999999,37.559795,1,1.4,1,205.2,1,29.54,1,5.8117285,1781186769000,2077297650461205
2077298715,gps,55.67458666666666,37.559841666666664,1,1.4,1,204.9,1,29.49,1,5.8451858,1781186770000,2077298648500897
2077299710,gps,55.67463333333333,37.55988833333333,1,1.4,1,204.6,1,31.55,1,5.8693776,1781186771000,2077299650065820
2077300717,gps,55.67468,37.559935,1,1.4,1,204.2,1,29.23,1,5.899746,1781186772000,2077300651608512
2077301723,gps,55.67472833333333,37.559985,1,1.4,1,203.8,1,29.74,1,5.951733,1781186773000,2077301650323359
2077302720,gps,55.674776666666666,37.56003833333333,1,1.4,1,203.0,1,30.54,1,6.021735,1781186774000,2077302649903666
2077303711,gps,55.67482333333334,37.560089999999995,1,1.4,1,202.9,1,31.81,1,6.0191617,1781186775000,2077303647393205
2077304716,gps,55.67486999999999,37.560140000000004,1,1.5,1,202.9,1,29.38,1,6.0881343,1781186776000,2077304651128282
2077305722,gps,55.67491833333334,37.560195,1,1.5,1,202.5,1,32.31,1,6.158137,1781186777000,2077305649482051
2077306711,gps,55.67496833333333,37.560246666666664,1,1.5,1,202.2,1,31.15,1,6.2235065,1781186778000,2077306650687051
2077307720,gps,55.675019999999996,37.560298333333336,1,1.5,1,201.7,1,29.23,1,6.29042,1781186779000,2077307649916820
2077308708,gps,55.67507166666666,37.56035166666666,1,1.5,1,201.4,1,33.02,1,6.3547606,1781186780000,2077308648545205
2077309730,gps,55.67512333333334,37.560408333333335,1,1.4,1,201.1,1,33.77,1,6.4165273,1781186781000,2077309652188821
2077310710,gps,55.67517333333333,37.560465,1,1.5,1,200.4,1,33.87,1,6.476235,1781186782000,2077310650093436
2077311719,gps,55.675225,37.560521666666666,1,1.5,1,199.9,1,30.91,1,6.535428,1781186783000,2077311648312898
2077312709,gps,55.67527833333334,37.56057666666666,1,1.6,1,199.5,1,31.49,1,6.5591054,1781186784000,2077312647996513
2077313242,network,55.6747319,37.5595216,1,37.747,1,216.90000915527344,0,0.0,0,0.0,1781186775951,2077304600000000
2077313711,gps,55.67532833333333,37.56063166666667,1,1.6,1,199.1,1,31.93,1,6.622416,1781186785000,2077313648344821
2077314724,gps,55.67537833333334,37.560685,1,1.5,1,198.9,1,32.64,1,6.626019,1781186786000,2077314649559898
2077315706,gps,55.675428333333336,37.56073833333333,1,1.5,1,198.7,1,34.09,1,6.6296225,1781186787000,2077315650749821
2077316713,gps,55.67547666666666,37.560795,1,1.5,1,198.2,1,34.88,1,6.6085186,1781186788000,2077316650504590
2077317714,gps,55.67552666666667,37.560833333333335,1,1.5,1,197.9,1,22.12,1,6.55962,1781186789000,2077317648432898
2077318716,gps,55.675578333333334,37.56086333333334,1,1.4,1,197.7,1,20.47,1,6.496824,1781186790000,2077318650310975
2077319710,gps,55.67562833333333,37.560903333333336,1,1.4,1,197.6,1,33.59,1,6.457705,1781186791000,2077319648001514
2077320715,gps,55.67567166666666,37.56096333333333,1,1.4,1,197.1,1,40.95,1,6.396453,1781186792000,2077320650072514
2077321713,gps,55.67571833333333,37.561025,1,1.4,1,196.6,1,36.63,1,6.3434367,1781186793000,2077321650973437
2077322715,gps,55.67576666666667,37.561074999999995,1,1.4,1,196.2,1,27.73,1,6.3068914,1781186794000,2077322649130668
2077323710,gps,55.67581499999999,37.561126666666674,1,1.4,1,195.9,1,34.62,1,6.252331,1781186795000,2077323649002360
2077324715,gps,55.67585999999999,37.561185,1,1.4,1,195.5,1,40.63,1,6.196226,1781186796000,2077324650550668
2077325721,gps,55.6759,37.56124666666666,1,1.4,1,195.3,1,39.91,1,6.1210766,1781186797000,2077325650148822
2077326717,gps,55.67594166666666,37.561295,1,1.4,1,195.1,1,26.28,1,6.0701194,1781186798000,2077326652499360
2077327711,gps,55.67598666666666,37.56133666666666,1,1.4,1,194.8,1,30.05,1,5.9918814,1781186799000,2077327652242745
2077328709,gps,55.676030000000004,37.56138166666666,1,1.4,1,194.6,1,30.14,1,5.9615126,1781186800000,2077328648180206
2077329711,gps,55.676071666666665,37.56142833333333,1,1.4,1,194.3,1,33.68,1,5.8951135,1781186801000,2077329649823591
2077330710,gps,55.676113333333326,37.561481666666666,1,1.4,1,194.1,1,37.84,1,5.8441563,1781186802000,2077330650475283
2077331710,gps,55.67615666666667,37.56153,1,1.4,1,193.7,1,28.37,1,5.805552,1781186803000,2077331649260514
2077332715,gps,55.6762,37.56157666666666,1,1.4,1,193.4,1,31.89,1,5.727314,1781186804000,2077332651685822
2077333715,gps,55.67624333333333,37.56162166666666,1,1.4,1,193.1,1,27.99,1,5.6696653,1781186805000,2077333652896591
2077334277,network,55.6754894,37.5617253,1,28.163,1,226.8000030517578,0,0.0,0,0.0,1781186804570,2077333219000000
2077334710,gps,55.67628333333334,37.56166666666666,1,1.4,1,192.9,1,32.4,1,5.6006923,1781186806000,2077334649465822
2077335709,gps,55.676325,37.561706666666666,1,1.4,1,192.6,1,25.91,1,5.557456,1781186807000,2077335649033822
2077336718,gps,55.676366666666674,37.56174166666666,1,1.4,1,192.5,1,24.73,1,5.5224547,1781186808000,2077336650700207
2077337729,gps,55.676406666666665,37.56178,1,1.4,1,192.4,1,26.67,1,5.4972334,1781186809000,2077337650598976
2077338720,gps,55.67644833333334,37.561818333333335,1,1.4,1,192.1,1,30.68,1,5.4308343,1781186810000,2077338654515592
2077339715,gps,55.676485,37.561861666666665,1,1.4,1,191.7,1,39.4,1,5.3664937,1781186811000,2077339650970361
2077340710,gps,55.67652,37.56191,1,1.4,1,191.6,1,37.79,1,5.3119335,1781186812000,2077340651599899
2077341705,gps,55.67655500000001,37.56195666666667,1,1.4,1,191.3,1,40.61,1,5.2038417,1781186813000,2077341647668899
2077342711,gps,55.676590000000004,37.561998333333335,1,1.4,1,191.3,1,33.48,1,5.1431046,1781186814000,2077342650245207
2077343716,gps,55.676629999999996,37.56203666666667,1,1.4,1,191.2,1,27.01,1,5.0684695,1781186815000,2077343649086669
