linear_acc,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),acc_lin_x[m/s^2],acc_lin_y[m/s^2],acc_lin_z[m/s^2]
883070693,3,-0.016768,0.043874,2.4E-4
883070703,3,-0.01252,0.041165,0.001022
883070713,3,-0.007781,0.033442,-0.004097
883070723,3,-0.001756,0.02752,-0.008067
883070733,3,-0.001532,0.021824,-0.005559
883070743,3,-0.003269,0.013756,-8.09E-4
883070753,3,-0.009766,0.002769,5.5E-5
883070763,3,-0.019305,-0.005637,-0.005701
883070773,3,-0.032299,-0.01498,-0.001688
883070783,3,-0.042566,-0.022135,0.001203
883070793,3,-0.050461,-0.02754,0.001984
883070803,3,-0.056841,-0.031737,-0.002435
883070814,3,-0.060923,-0.032157,-0.003289
883070824,3,-0.062785,-0.030641,-0.001482
883070834,3,-0.064529,-0.028855,-6.74E-4
883070844,3,-0.06701,-0.025701,-0.001752
883070854,3,-0.066951,-0.022732,-0.002489
883070864,3,-0.062563,-0.021505,0.00184
883070874,3,-0.062053,-0.020396,0.001728
883070884,3,-0.059475,-0.019318,-0.00213
883070894,3,-0.05588,-0.019476,0.002063
883070904,3,-0.049428,-0.019539,0.002926
883070914,3,-0.040372,-0.019398,-0.004617
883070924,3,-0.035873,-0.019285,-0.003885
883070934,3,-0.028762,-0.019067,0.002127
883070945,3,-0.020967,-0.020234,0.00451
883070955,3,-0.008154,-0.021231,-0.001753
883070965,3,4.35E-4,-0.023305,-0.00134
883070975,3,0.008137,-0.024709,0.001736
883070985,3,0.015065,-0.026216,0.003303
883070995,3,0.026225,-0.025506,0.001367
883071005,3,0.030812,-0.025384,0.001029
883071015,3,0.032886,-0.021903,0.003504
883071025,3,0.035885,-0.018544,0.002803
883071035,3,0.038285,-0.012664,0.002116
883071045,3,0.03963,-0.004577,2.24E-4
883071055,3,0.044984,0.005787,-0.002501
883071065,3,0.051821,0.01925,0.00202
883071075,3,0.056077,0.028616,0.005638
883071086,3,0.061717,0.036747,8.71E-4
883071096,3,0.062908,0.04555,-0.003132
883071106,3,0.06118,0.050933,-2.71E-4
883071116,3,0.055584,0.053388,0.004443
883071126,3,0.050852,0.054905,0.001958
883071136,3,0.045406,0.052926,-0.001305
883071146,3,0.03907,0.051343,0.003106
883071156,3,0.035214,0.04931,0.004014
883071166,3,0.02881,0.044173,2.73E-4
883071176,3,0.028283,0.039871,7.95E-4
883071186,3,0.026202,0.035472,0.00702
883071196,3,0.026771,0.028122,0.004467
883071206,3,0.028759,0.019178,0.001403
883071216,3,0.029328,0.009787,0.00591
883071227,3,0.030102,-0.001107,0.00626
883071237,3,0.033275,-0.00976,0.004754
883071247,3,0.032941,-0.018087,0.007699
883071257,3,0.032099,-0.025643,0.004562
883071267,3,0.029701,-0.030729,9.0E-6
883071277,3,0.028549,-0.033713,0.001092
883071287,3,0.023414,-0.036164,3.64E-4
883071297,3,0.015411,-0.035124,-0.002453
883071307,3,0.007796,-0.031866,-0.001324
883071317,3,-7.22E-4,-0.028494,0.0036
883071327,3,-0.010665,-0.025476,0.009646
883071337,3,-0.015108,-0.023062,0.007654
883071347,3,-0.017768,-0.0226,0.004781
883071357,3,-0.019642,-0.022549,0.003889
883071368,3,-0.020565,-0.02187,0.002729
883071378,3,-0.018942,-0.021709,0.003524
883071388,3,-0.018665,-0.02056,0.003649
883071398,3,-0.015826,-0.020342,-2.08E-4
883071408,3,-0.009724,-0.019211,-9.34E-4
883071418,3,-0.013078,-0.016645,0.006786
883071428,3,-0.004461,-0.017019,0.004981
883071438,3,0.002177,-0.015978,0.002006
883071448,3,0.003848,-0.015144,0.004925
883071458,3,0.010867,-0.013328,0.00394
883071468,3,0.016419,-0.01245,0.002705
883071478,3,0.02035,-0.010088,0.001653
883071488,3,0.020493,-0.008836,0.002791
883071499,3,0.023226,-0.00592,0.001658
883071509,3,0.024199,-0.002629,0.002411
883071519,3,0.023573,0.003068,-0.002795
883071529,3,0.018475,0.011328,0.00185
883071539,3,0.011843,0.017873,0.001989
883071549,3,0.006474,0.02694,6.99E-4
883071559,3,5.18E-4,0.034449,0.002538
883071569,3,-0.004501,0.041413,0.002222
883071579,3,-0.011517,0.046346,-2.65E-4
883071589,3,-0.015343,0.049591,0.001703
883071599,3,-0.020574,0.051739,0.00449
883071609,3,-0.023993,0.051607,0.009402
883071619,3,-0.019833,0.046393,8.18E-4
883071629,3,-0.015994,0.041009,-0.005411
883071640,3,-0.01637,0.037212,-0.002606
883071650,3,-0.017054,0.033026,0.006597
883071660,3,-0.012686,0.02757,0.005725
883071670,3,-0.007148,0.016948,0.001387
883071680,3,9.85E-4,0.012665,-0.005849
883071690,3,0.003724,0.007386,-2.1E-4
883071700,3,0.005597,2.27E-4,0.009599
883071710,3,0.008564,-0.008629,0.011255
883071720,3,0.022174,-0.018459,-0.004913
883071730,3,0.020931,-0.025365,3.48E-4
883071740,3,0.02364,-0.032104,0.006917
883071750,3,0.03149,-0.038835,-0.001807
883071760,3,0.027937,-0.04422,-0.004574
883071770,3,0.026116,-0.045974,-0.002318
883071781,3,0.022489,-0.046292,9.54E-4
883071791,3,0.020417,-0.044057,-0.001726
883071801,3,0.012375,-0.041055,-0.002466
883071811,3,0.00326,-0.035462,-0.003633
883071821,3,-0.005946,-0.029646,0.005904
883071831,3,-0.009545,-0.023717,0.004404
883071841,3,-0.012233,-0.019484,-4.99E-4
883071851,3,-0.016682,-0.016481,-0.0064
883071861,3,-0.0219,-0.012674,5.61E-4
883071871,3,-0.022309,-0.008415,0.007216
883071881,3,-0.022444,-0.005328,0.003411
883071891,3,-0.022807,-0.001453,0.003558
883071901,3,-0.01799,1.14E-4,0.001569
883071911,3,-0.010689,-5.46E-4,-0.002511
883071922,3,-0.0097,0.00301,-7.31E-4
883071932,3,-0.008399,0.005664,0.002223
883071942,3,-0.00225,0.005169,0.001651
883071952,3,0.005925,0.005348,-0.004169
883071962,3,0.007932,0.007535,4.32E-4
883071972,3,0.009091,0.010625,8.56E-4
883071982,3,0.010465,0.009585,0.003557
883071992,3,0.014437,0.0092,0.003739
883072002,3,0.015444,0.010233,-0.002243
883072012,3,0.013632,0.012081,-0.005624
883072022,3,0.011799,0.015602,-8.6E-4
883072032,3,0.008099,0.020271,-2.42E-4
883072042,3,-1.6E-4,0.025219,2.53E-4
883072053,3,-0.007662,0.030326,-0.001329
883072063,3,-0.01245,0.034476,0.003788
883072073,3,-0.01877,0.038179,0.006989
883072083,3,-0.025423,0.040056,0.003549
883072093,3,-0.027489,0.039196,6.68E-4
883072103,3,-0.02927,0.037422,0.001875
883072113,3,-0.0298,0.034534,0.005266
883072123,3,-0.027096,0.028968,-0.002234
883072133,3,-0.026976,0.021897,-0.006193
883072143,3,-0.02771,0.016432,-0.001506
883072153,3,-0.023125,0.010273,0.00205
883072163,3,-0.019969,0.0026,-5.29E-4
883072173,3,-0.019231,-0.004048,-0.004765
883072183,3,-0.016087,-0.010262,0.001231
883072194,3,-0.010124,-0.017914,0.001367
883072204,3,-0.006822,-0.023844,-3.1E-4
883072214,3,-0.006032,-0.028779,-0.001014
883072224,3,-0.002591,-0.034771,5.93E-4
883072234,3,0.003098,-0.03899,-8.02E-4
883072244,3,0.004138,-0.042365,-0.001344
883072254,3,0.001906,-0.043979,2.65E-4
883072264,3,8.86E-4,-0.04476,0.001041
883072274,3,0.003773,-0.044938,-4.43E-4
883072284,3,3.37E-4,-0.040802,-0.001249
883072294,3,-0.00771,-0.03577,-1.05E-4
883072304,3,-0.009105,-0.031553,-2.12E-4
883072314,3,-0.013158,-0.024604,0.001426
883072324,3,-0.020933,-0.016555,0.003567
883072335,3,-0.024535,-0.01069,-2.1E-4
883072345,3,-0.026396,-0.005359,-0.001765
883072355,3,-0.030374,5.0E-4,0.001971
883072365,3,-0.031514,0.004294,6.19E-4
883072375,3,-0.032808,0.007841,-6.52E-4
883072385,3,-0.032823,0.011316,3.08E-4
883072395,3,-0.032387,0.014352,0.003182
883072405,3,-0.029166,0.015759,0.002035
883072415,3,-0.026333,0.016885,-0.002202
883072425,3,-0.023173,0.018552,-1.02E-4
883072435,3,-0.018666,0.019438,0.002535
883072445,3,-0.013528,0.020275,-7.8E-4
883072455,3,-0.009801,0.020561,-4.96E-4
883072465,3,-0.004074,0.020727,-0.002568
883072476,3,-1.31E-4,0.020667,4.99E-4
883072486,3,0.002193,0.019024,0.003655
883072496,3,0.004436,0.018156,8.18E-4
883072506,3,0.007379,0.016312,-0.002729
883072516,3,0.009479,0.014965,-0.00129
883072526,3,0.007966,0.015483,-7.12E-4
883072536,3,0.004266,0.016153,-3.14E-4
883072546,3,0.001753,0.016753,-5.71E-4
883072556,3,-1.93E-4,0.017872,-0.002372
883072566,3,-0.00539,0.01832,-0.001322
883072576,3,-0.013059,0.019316,0.003475
883072586,3,-0.016576,0.018709,0.00195
883072596,3,-0.015751,0.017138,-0.001823
883072606,3,-0.020006,0.015179,5.85E-4
883072617,3,-0.022326,0.011951,-0.001703
883072627,3,-0.019074,0.006432,-0.007108
883072637,3,-0.01877,4.85E-4,-0.003005
883072647,3,-0.018783,-0.002995,-0.00317
883072657,3,-0.015601,-0.008589,-0.004899
883072667,3,-0.013438,-0.013766,-0.00245
883072677,3,-0.009857,-0.017334,-0.002281
883072687,3,-0.006353,-0.021784,-4.83E-4
883072697,3,-0.002656,-0.025663,4.44E-4
883072707,3,7.47E-4,-0.028511,6.73E-4
883072717,3,0.006152,-0.033343,2.8E-5
883072727,3,0.009774,-0.036826,-0.001191
883072737,3,0.012799,-0.037824,-0.001719
883072748,3,0.016304,-0.040538,-0.003417
883072758,3,0.017768,-0.040475,-0.002861
883072768,3,0.017598,-0.038254,-0.002481
883072778,3,0.016122,-0.03686,-0.004794
883072788,3,0.013344,-0.029807,-0.003835
883072798,3,0.006397,-0.023973,0.003762
883072808,3,0.001734,-0.017071,0.007096
883072818,3,-0.003592,-0.008677,0.003315
883072828,3,-0.006513,-0.002409,0.002715
883072838,3,-0.009807,0.003371,0.004343
883072848,3,-0.014613,0.010103,0.004049
883072858,3,-0.01501,0.014148,-9.73E-4
883072868,3,-0.012455,0.016106,-0.007929
883072878,3,-0.012454,0.01978,-0.00564
883072889,3,-0.013028,0.022719,-0.001256
883072899,3,-0.01106,0.022836,-0.005666
883072909,3,-0.007891,0.023951,-0.006704
883072919,3,-0.005418,0.025098,8.94E-4
883072929,3,-0.003888,0.025697,0.0048
883072939,3,1.7E-5,0.025346,-0.001394
883072949,3,0.006462,0.023597,-0.002455
883072959,3,0.010086,0.022899,0.002248
883072969,3,0.013304,0.022022,0.0025
883072979,3,0.018368,0.01832,-6.16E-4
883072989,3,0.022803,0.014337,-0.004834
883072999,3,0.025648,0.011342,-0.005336
883073009,3,0.027222,0.008818,-0.002225
883073019,3,0.025928,0.007693,-0.002675
883073030,3,0.025211,0.006282,-0.002905
883073040,3,0.023617,0.005217,-0.001174
883073050,3,0.018446,0.00628,0.001996
883073060,3,0.014055,0.006493,8.95E-4
883073070,3,0.010477,0.00596,9.08E-4
883073080,3,0.005892,0.006811,0.002705
883073090,3,0.003245,0.004236,-0.001028
883073100,3,0.004383,0.003325,-0.007334
883073110,3,3.78E-4,0.001446,-0.007719
883073120,3,-0.001037,-0.001651,-0.00426
883073130,3,-0.001468,-0.004577,-0.004812
883073140,3,-0.001302,-0.00762,-0.006403
883073150,3,4.26E-4,-0.011331,-0.004228
883073160,3,0.001107,-0.013215,-6.2E-5
883073171,3,0.001779,-0.015041,0.003781
883073181,3,0.005573,-0.018672,2.4E-5
