gravity,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),grav_x[m/s^2],grav_y[m/s^2],grav_z[m/s^2]
883070793,3,0.877973,0.259282,9.763759
883070803,3,0.871448,0.259192,9.764326
883070814,3,0.864314,0.258687,9.764952
883070824,3,0.856559,0.257824,9.765635
883070834,3,0.848303,0.256616,9.766367
883070844,3,0.83969,0.255071,9.76713
883070854,3,0.830921,0.253201,9.767908
883070864,3,0.821876,0.251098,9.76871
883070874,3,0.812564,0.248713,9.769537
883070884,3,0.803061,0.246054,9.770379
883070894,3,0.793385,0.243299,9.771231
883070904,3,0.783463,0.240467,9.7721
883070914,3,0.773331,0.237648,9.772981
883070924,3,0.76301,0.234827,9.77387
883070934,3,0.752631,0.232109,9.774756
883070945,3,0.742374,0.229543,9.775624
883070955,3,0.732441,0.227254,9.776451
883070965,3,0.723144,0.225232,9.777213
883070975,3,0.71459,0.223511,9.777903
883070985,3,0.706729,0.222157,9.778522
883070995,3,0.699642,0.221112,9.779073
883071005,3,0.693362,0.220319,9.779552
883071015,3,0.687722,0.219798,9.779975
883071025,3,0.682694,0.219542,9.780345
883071035,3,0.678192,0.219541,9.780668
883071045,3,0.674006,0.219841,9.780959
883071055,3,0.670064,0.220482,9.781221
883071065,3,0.666145,0.221528,9.781471
883071075,3,0.662272,0.222885,9.781706
883071086,3,0.658678,0.224451,9.781914
883071096,3,0.655228,0.22629,9.782103
883071106,3,0.651639,0.2284,9.78229
883071116,3,0.647937,0.230666,9.782477
883071126,3,0.644288,0.233094,9.782655
883071136,3,0.64044,0.235633,9.782838
883071146,3,0.636281,0.238322,9.783033
883071156,3,0.631978,0.241111,9.783234
883071166,3,0.627396,0.243979,9.783446
883071176,3,0.622562,0.246896,9.783671
883071186,3,0.617471,0.249821,9.783909
883071196,3,0.612072,0.252714,9.784166
883071206,3,0.606449,0.255487,9.784441
883071216,3,0.600694,0.258013,9.784729
883071227,3,0.594779,0.260134,9.785038
883071237,3,0.588997,0.261822,9.78535
883071247,3,0.583499,0.262895,9.785661
883071257,3,0.578348,0.263297,9.785966
883071267,3,0.573661,0.262939,9.78626
883071277,3,0.56943,0.262025,9.786537
883071287,3,0.565245,0.260651,9.786822
883071297,3,0.561204,0.258814,9.787107
883071307,3,0.557416,0.256598,9.787385
883071317,3,0.553753,0.254129,9.787658
883071327,3,0.550195,0.251406,9.787929
883071337,3,0.54698,0.248481,9.788184
883071347,3,0.544014,0.245383,9.788427
883071357,3,0.541058,0.242191,9.788671
883071368,3,0.538027,0.239147,9.788915
883071378,3,0.534928,0.236139,9.789158
883071388,3,0.5319,0.233181,9.789394
883071398,3,0.528801,0.230457,9.789628
883071408,3,0.525375,0.228088,9.789865
883071418,3,0.521491,0.22612,9.790115
883071428,3,0.517799,0.224604,9.790344
883071438,3,0.513774,0.223535,9.790577
883071448,3,0.509363,0.22301,9.790815
883071458,3,0.504929,0.22305,9.79104
883071468,3,0.500375,0.223546,9.791263
883071478,3,0.495743,0.22447,9.791479
883071488,3,0.491144,0.22571,9.791684
883071499,3,0.486926,0.22714,9.791867
883071509,3,0.483163,0.228602,9.792026
883071519,3,0.479893,0.230167,9.792157
883071529,3,0.476813,0.231794,9.792276
883071539,3,0.474021,0.233475,9.792378
883071549,3,0.47162,0.235206,9.792459
883071559,3,0.469665,0.236954,9.792517
883071569,3,0.468219,0.238576,9.792551
883071579,3,0.467095,0.240299,9.792564
883071589,3,0.465971,0.242118,9.792574
883071599,3,0.464852,0.243952,9.792583
883071609,3,0.464019,0.245755,9.792578
883071619,3,0.463712,0.247437,9.792549
883071629,3,0.463106,0.249103,9.792535
883071640,3,0.462419,0.250802,9.792523
883071650,3,0.461774,0.252449,9.79251
883071660,3,0.461039,0.253968,9.792503
883071670,3,0.460213,0.255389,9.792505
883071680,3,0.459308,0.256745,9.792509
883071690,3,0.458386,0.258033,9.79252
883071700,3,0.457282,0.259202,9.79254
883071710,3,0.456117,0.260199,9.792566
883071720,3,0.455054,0.260829,9.7926
883071730,3,0.454323,0.261082,9.792627
883071740,3,0.45384,0.260908,9.792654
883071750,3,0.453635,0.260282,9.79268
883071760,3,0.453637,0.259234,9.792705
