stk3a5x_als,sensortek,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),ambient_brightness[lux]
883072395,3,1.0
883072405,3,1.0
883072415,3,7.0
883072425,3,1.0
883072435,3,1.0
883072445,3,1.0
883072455,3,1.0
883072465,3,7.0
883072475,3,1.0
883072485,3,1.0
883072495,3,1.0
883072505,3,1.0
883072515,3,7.0
883072525,3,1.0
883072535,3,1.0
883072545,3,1.0
883072555,3,1.0
883072565,3,7.0
883072575,3,1.0
883072585,3,1.0
883072595,3,1.0
883072605,3,1.0
883072615,3,1.0
883072625,3,7.0
883072635,3,1.0
883072645,3,1.0
883072655,3,1.0
883072665,3,1.0
883072675,3,7.0
883072685,3,1.0
883072695,3,1.0
883072705,3,1.0
883072715,3,1.0
883072725,3,7.0
883072735,3,1.0
883072745,3,1.0
883072755,3,1.0
883072765,3,1.0
883072775,3,7.0
883072785,3,1.0
883072795,3,1.0
883072805,3,1.0
883072815,3,1.0
883072825,3,7.0
883072835,3,1.0
883072845,3,1.0
883072855,3,1.0
883072865,3,1.0
883072875,3,7.0
883072885,3,1.0
883072895,3,1.0
883072905,3,1.0
883072915,3,1.0
883072925,3,1.0
883072935,3,7.0
883072945,3,1.0
883072955,3,1.0
883072965,3,1.0
883072975,3,1.0
883072985,3,7.0
883072995,3,1.0
883073005,3,1.0
883073015,3,1.0
883073025,3,1.0
883073035,3,7.0
883073045,3,1.0
883073055,3,1.0
883073065,3,1.0
883073075,3,1.0
883073085,3,7.0
883073095,3,1.0
883073105,3,1.0
883073115,3,1.0
883073125,3,1.0
883073135,3,7.0
883073145,3,1.0
883073155,3,1.0
883073165,3,1.0
883073175,3,1.0
883073185,3,7.0
883073195,3,1.0
883073205,3,1.0
883073215,3,1.0
883073225,3,1.0
883073235,3,1.0
883073245,3,7.0
883073255,3,1.0
883073265,3,1.0
883073275,3,1.0
883073285,3,1.0
883073295,3,7.0
883073305,3,1.0
883073315,3,1.0
883073325,3,1.0
883073335,3,1.0
883073345,3,7.0
883073355,3,1.0
883073365,3,1.0
883073375,3,1.0
883073385,3,1.0
883073395,3,8.0
883073405,3,2.0
883073415,3,2.0
883073425,3,2.0
883073435,3,2.0
883073445,3,8.0
883073455,3,2.0
883073465,3,2.0
883073474,3,2.0
883073485,3,2.0
883073494,3,8.0
883073504,3,2.0
883073514,3,2.0
883073524,3,2.0
883073534,3,2.0
883073544,3,2.0
883073554,3,8.0
883073564,3,2.0
883073574,3,2.0
883073584,3,2.0
883073595,3,2.0
883073604,3,9.0
883073614,3,2.0
883073624,3,2.0
883073634,3,2.0
883073644,3,2.0
883073655,3,9.0
883073665,3,2.0
883073675,3,2.0
883073685,3,2.0
883073695,3,2.0
883073705,3,9.0
883073715,3,2.0
883073725,3,2.0
883073735,3,2.0
883073745,3,2.0
883073755,3,9.0
883073765,3,2.0
883073775,3,2.0
883073785,3,2.0
883073795,3,2.0
883073805,3,9.0
883073815,3,2.0
883073825,3,2.0
883073835,3,2.0
883073845,3,2.0
883073855,3,2.0
883073865,3,11.0
883073875,3,2.0
883073885,3,2.0
883073895,3,2.0
883073905,3,2.0
883073915,3,11.0
883073925,3,2.0
883073935,3,2.0
883073945,3,2.0
883073955,3,2.0
883073965,3,11.0
883073975,3,2.0
883073985,3,2.0
883073995,3,2.0
883074005,3,2.0
883074015,3,11.0
883074025,3,2.0
883074035,3,2.0
883074045,3,2.0
883074055,3,2.0
883074065,3,11.0
883074075,3,2.0
883074085,3,2.0
883074095,3,2.0
883074105,3,2.0
883074115,3,11.0
883074125,3,2.0
883074135,3,2.0
883074145,3,2.0
883074155,3,2.0
883074165,3,2.0
883074175,3,11.0
883074185,3,2.0
883074195,3,2.0
883074205,3,2.0
883074215,3,2.0
883074225,3,11.0
883074235,3,2.0
883074245,3,2.0
883074255,3,2.0
883074265,3,2.0
883074275,3,11.0
883074285,3,2.0
883074295,3,2.0
883074305,3,2.0
883074315,3,2.0
883074325,3,11.0
883074335,3,2.0
883074345,3,2.0
883074355,3,2.0
883074365,3,2.0
883074375,3,11.0
883074385,3,2.0
883074395,3,2.0
883074405,3,2.0
883074415,3,2.0
883074425,3,11.0
883074435,3,2.0
883074445,3,2.0
883074455,3,2.0
883074465,3,2.0
883074475,3,11.0
883074485,3,2.0
883074495,3,2.0
883074505,3,2.0
883074515,3,2.0
883074525,3,2.0
883074535,3,11.0
883074545,3,2.0
883074555,3,2.0
883074565,3,2.0
883074575,3,2.0
883074585,3,11.0
883074595,3,2.0
883074605,3,2.0
883074615,3,2.0
883074625,3,2.0
883074635,3,11.0
883074645,3,2.0
883074655,3,2.0
883074665,3,2.0
883074675,3,2.0
883074685,3,11.0
883074695,3,2.0
883074705,3,2.0
883074715,3,2.0
883074725,3,2.0
883074735,3,11.0
883074745,3,2.0
883074755,3,2.0
883074765,3,2.0
883074775,3,2.0
883074785,3,11.0
883074795,3,2.0
883074805,3,2.0
883074815,3,2.0
883074825,3,2.0
883074835,3,2.0
883074845,3,11.0
883074854,3,2.0
883074865,3,2.0
883074874,3,2.0
883074884,3,2.0
883074894,3,11.0
883074904,3,2.0
883074914,3,2.0
883074924,3,2.0
883074934,3,2.0
883074944,3,11.0
883074954,3,2.0
883074964,3,2.0
883074975,3,2.0
883074985,3,2.0
883074994,3,11.0
883075004,3,2.0
883075014,3,2.0
883075024,3,2.0
883075034,3,2.0
883075045,3,11.0
883075055,3,2.0
883075065,3,2.0
883075075,3,2.0
883075085,3,2.0
883075095,3,11.0
883075105,3,2.0
883075115,3,2.0
883075125,3,2.0
883075135,3,2.0
883075145,3,2.0
883075155,3,11.0
883075165,3,2.0
883075175,3,2.0
883075185,3,2.0
883075195,3,2.0
883075205,3,11.0
883075215,3,2.0
883075225,3,2.0
883075235,3,2.0
883075245,3,2.0
883075255,3,11.0
883075265,3,2.0
883075275,3,2.0
883075285,3,2.0
883075295,3,2.0
883075305,3,11.0
883075315,3,2.0
883075325,3,2.0
883075335,3,2.0
883075345,3,2.0
883075355,3,11.0
883075365,3,2.0
883075375,3,2.0
883075385,3,2.0
883075395,3,2.0
883075405,3,11.0
883075415,3,2.0
883075425,3,2.0
883075435,3,2.0
883075445,3,2.0
883075455,3,2.0
883075465,3,11.0
883075475,3,2.0
883075485,3,2.0
883075495,3,2.0
883075505,3,2.0
883075515,3,11.0
883075525,3,2.0
883075535,3,2.0
883075545,3,2.0
883075555,3,2.0
883075565,3,11.0
883075575,3,2.0
883075585,3,2.0
883075595,3,2.0
883075605,3,2.0
883075615,3,11.0
883075625,3,2.0
883075635,3,2.0
883075645,3,2.0
883075655,3,2.0
883075665,3,11.0
883075675,3,2.0
883075685,3,2.0
883075695,3,2.0
883075705,3,2.0
883075715,3,11.0
883075725,3,2.0
883075735,3,2.0
883075745,3,2.0
883075755,3,2.0
883075765,3,2.0
883075775,3,11.0
883075785,3,2.0
883075795,3,2.0
883075805,3,2.0
883075815,3,2.0
883075825,3,11.0
883075835,3,2.0
883075845,3,2.0
883075855,3,2.0
883075865,3,2.0
883075875,3,11.0
883075885,3,2.0
883075895,3,2.0
883075905,3,2.0
883075915,3,2.0
883075925,3,11.0
883075935,3,2.0
883075945,3,2.0
883075955,3,2.0
883075965,3,2.0
883075975,3,11.0
883075985,3,2.0
883075995,3,2.0
883076005,3,2.0
883076015,3,2.0
883076025,3,11.0
883076035,3,2.0
883076045,3,2.0
883076055,3,2.0
883076065,3,2.0
883076075,3,2.0
883076085,3,11.0
883076095,3,2.0
883076105,3,2.0
883076115,3,2.0
883076125,3,2.0
883076135,3,11.0
883076145,3,2.0
883076155,3,2.0
883076165,3,2.0
883076175,3,2.0
883076185,3,11.0
883076195,3,2.0
883076205,3,2.0
883076215,3,2.0
883076225,3,2.0
883076235,3,11.0
883076244,3,2.0
883076255,3,2.0
883076264,3,2.0
883076274,3,2.0
883076284,3,11.0
883076294,3,2.0
883076304,3,2.0
883076314,3,2.0
883076324,3,2.0
883076334,3,11.0
883076344,3,2.0
883076354,3,2.0
883076365,3,2.0
883076374,3,2.0
883076384,3,2.0
883076394,3,11.0
883076404,3,2.0
883076414,3,2.0
883076425,3,2.0
883076435,3,2.0
883076445,3,11.0
883076455,3,2.0
883076465,3,2.0
883076475,3,2.0
883076485,3,2.0
883076495,3,11.0
883076505,3,2.0
883076515,3,2.0
883076525,3,2.0
883076535,3,2.0
883076545,3,11.0
883076555,3,2.0
883076565,3,2.0
883076575,3,2.0
883076585,3,2.0
883076595,3,11.0
883076605,3,2.0
883076615,3,2.0
883076625,3,2.0
883076635,3,2.0
883076645,3,11.0
883076655,3,2.0
883076665,3,2.0
883076675,3,2.0
883076685,3,2.0
883076695,3,2.0
883076705,3,11.0
883076715,3,2.0
883076725,3,2.0
883076735,3,2.0
883076745,3,2.0
883076755,3,11.0
883076765,3,2.0
883076775,3,2.0
883076785,3,2.0
883076795,3,2.0
883076805,3,11.0
883076815,3,2.0
883076825,3,2.0
883076835,3,2.0
883076845,3,2.0
883076855,3,11.0
883076865,3,2.0
883076875,3,2.0
883076885,3,2.0
883076895,3,2.0
883076905,3,11.0
883076915,3,2.0
883076925,3,2.0
883076935,3,2.0
883076945,3,2.0
883076955,3,11.0
883076965,3,2.0
883076975,3,2.0
883076985,3,2.0
883076995,3,2.0
883077005,3,11.0
883077015,3,2.0
883077025,3,2.0
883077035,3,2.0
883077045,3,2.0
883077055,3,2.0
883077065,3,11.0
883077075,3,2.0
883077085,3,2.0
883077095,3,2.0
883077105,3,2.0
883077115,3,11.0
883077125,3,2.0
883077135,3,2.0
883077145,3,2.0
883077155,3,2.0
883077165,3,11.0
883077175,3,2.0
883077185,3,2.0
883077195,3,2.0
883077205,3,2.0
883077215,3,11.0
883077225,3,2.0
883077235,3,2.0
883077245,3,2.0
883077255,3,2.0
883077265,3,11.0
883077275,3,2.0
883077285,3,2.0
883077295,3,2.0
883077305,3,2.0
883077315,3,11.0
883077325,3,2.0
883077335,3,2.0
883077345,3,2.0
883077355,3,2.0
883077365,3,2.0
883077375,3,11.0
883077385,3,2.0
883077395,3,2.0
883077405,3,2.0
883077415,3,2.0
883077425,3,9.0
883077435,3,2.0
883077445,3,2.0
883077455,3,2.0
883077465,3,2.0
883077475,3,9.0
883077485,3,2.0
883077495,3,2.0
883077505,3,2.0
883077515,3,2.0
883077525,3,8.0
883077535,3,2.0
883077545,3,2.0
883077555,3,2.0
883077565,3,2.0
883077575,3,8.0
883077585,3,2.0
883077595,3,2.0
883077605,3,2.0
883077615,3,2.0
883077625,3,8.0
883077635,3,2.0
883077644,3,2.0
883077654,3,2.0
883077664,3,2.0
883077674,3,2.0
883077684,3,8.0
883077694,3,2.0
883077704,3,2.0
883077714,3,2.0
883077724,3,2.0
883077734,3,7.0
883077744,3,1.0
883077755,3,1.0
883077764,3,1.0
883077774,3,1.0
883077784,3,7.0
883077794,3,1.0
883077804,3,1.0
883077815,3,1.0
883077825,3,1.0
883077835,3,7.0
883077845,3,1.0
883077855,3,1.0
883077865,3,1.0
883077875,3,1.0
883077885,3,7.0
883077895,3,1.0
883077905,3,1.0
883077915,3,1.0
883077925,3,1.0
883077935,3,7.0
883077945,3,1.0
883077955,3,1.0
883077965,3,1.0
883077975,3,1.0
883077985,3,1.0
883077995,3,7.0
883078005,3,1.0
883078015,3,1.0
883078025,3,1.0
883078035,3,1.0
883078045,3,7.0
883078055,3,1.0
883078065,3,1.0
883078075,3,1.0
883078085,3,1.0
883078095,3,7.0
883078105,3,1.0
883078115,3,1.0
883078125,3,1.0
883078135,3,1.0
883078145,3,7.0
883078155,3,1.0
883078165,3,1.0
883078175,3,1.0
883078185,3,1.0
883078195,3,8.0
883078205,3,2.0
883078215,3,2.0
883078225,3,2.0
883078235,3,2.0
883078245,3,8.0
883078255,3,2.0
883078265,3,2.0
883078275,3,2.0
883078285,3,2.0
883078295,3,2.0
883078305,3,8.0
883078315,3,2.0
883078325,3,2.0
883078335,3,2.0
883078345,3,2.0
883078355,3,9.0
883078365,3,2.0
883078375,3,2.0
883078385,3,2.0
883078395,3,2.0
883078405,3,9.0
883078415,3,2.0
883078425,3,2.0
883078435,3,2.0
883078445,3,2.0
883078455,3,11.0
883078465,3,2.0
883078475,3,2.0
883078485,3,2.0
883078495,3,2.0
883078505,3,11.0
883078515,3,2.0
883078525,3,2.0
883078535,3,2.0
883078545,3,2.0
883078555,3,11.0
883078565,3,2.0
883078575,3,2.0
883078585,3,2.0
883078595,3,2.0
883078605,3,2.0
883078615,3,11.0
883078625,3,2.0
883078635,3,2.0
883078645,3,2.0
883078655,3,2.0
883078665,3,11.0
883078675,3,2.0
883078685,3,2.0
883078695,3,2.0
883078705,3,2.0
883078715,3,11.0
883078725,3,2.0
883078735,3,2.0
883078745,3,2.0
883078755,3,2.0
883078765,3,11.0
883078775,3,2.0
883078785,3,2.0
883078795,3,2.0
883078805,3,2.0
883078815,3,11.0
883078825,3,2.0
883078835,3,2.0
883078845,3,2.0
883078855,3,2.0
883078865,3,11.0
883078875,3,2.0
883078885,3,2.0
883078895,3,2.0
883078905,3,2.0
883078915,3,2.0
883078925,3,11.0
883078935,3,2.0
883078945,3,2.0
883078955,3,2.0
883078965,3,2.0
883078975,3,11.0
883078985,3,2.0
883078995,3,2.0
883079005,3,2.0
883079014,3,2.0
883079025,3,11.0
883079034,3,2.0
883079044,3,2.0
883079054,3,2.0
883079064,3,2.0
883079074,3,11.0
883079084,3,2.0
883079094,3,2.0
883079104,3,2.0
883079114,3,2.0
883079124,3,12.0
883079135,3,3.0
883079144,3,3.0
883079154,3,3.0
883079164,3,3.0
883079174,3,11.0
883079184,3,2.0
883079194,3,2.0
883079205,3,2.0
883079215,3,2.0
883079225,3,11.0
883079235,3,2.0
883079245,3,2.0
883079255,3,2.0
883079265,3,2.0
883079275,3,2.0
883079285,3,12.0
883079295,3,3.0
883079305,3,3.0
883079315,3,3.0
883079325,3,3.0
883079335,3,11.0
883079345,3,2.0
883079355,3,2.0
883079365,3,2.0
883079375,3,2.0
883079385,3,12.0
883079395,3,3.0
883079405,3,3.0
883079415,3,3.0
883079425,3,3.0
883079435,3,11.0
883079445,3,2.0
883079455,3,2.0
883079465,3,2.0
883079475,3,2.0
883079485,3,11.0
883079495,3,2.0
883079505,3,2.0
883079515,3,2.0
883079525,3,2.0
883079535,3,11.0
883079545,3,2.0
883079555,3,2.0
883079565,3,2.0
883079575,3,2.0
883079585,3,2.0
883079595,3,11.0
883079605,3,2.0
883079615,3,2.0
883079625,3,2.0
883079635,3,2.0
883079645,3,11.0
883079655,3,2.0
883079665,3,2.0
883079675,3,2.0
883079685,3,2.0
883079695,3,11.0
883079705,3,2.0
883079715,3,2.0
883079725,3,2.0
883079735,3,2.0
883079745,3,11.0
883079755,3,2.0
883079765,3,2.0
883079775,3,2.0
883079785,3,2.0
883079795,3,11.0
883079805,3,2.0
883079815,3,2.0
883079825,3,2.0
883079835,3,2.0
883079845,3,11.0
883079855,3,2.0
883079865,3,2.0
883079875,3,2.0
883079885,3,2.0
883079895,3,2.0
883079905,3,11.0
883079915,3,2.0
883079925,3,2.0
883079935,3,2.0
883079945,3,2.0
883079955,3,11.0
883079965,3,2.0
883079975,3,2.0
883079985,3,2.0
883079995,3,2.0
883080005,3,11.0
883080015,3,2.0
883080025,3,2.0
883080035,3,2.0
883080045,3,2.0
883080055,3,9.0
883080065,3,2.0
883080075,3,2.0
883080085,3,2.0
883080095,3,2.0
883080105,3,9.0
883080115,3,2.0
883080125,3,2.0
883080135,3,2.0
883080145,3,2.0
883080155,3,8.0
883080165,3,2.0
883080175,3,2.0
883080185,3,2.0
883080195,3,2.0
883080205,3,2.0
883080215,3,8.0
883080225,3,2.0
883080235,3,2.0
883080245,3,2.0
883080255,3,2.0
883080265,3,7.0
883080275,3,1.0
883080285,3,1.0
883080295,3,1.0
883080305,3,1.0
883080315,3,7.0
883080325,3,1.0
883080335,3,1.0
883080345,3,1.0
883080355,3,1.0
883080365,3,7.0
883080375,3,1.0
883080385,3,1.0
883080395,3,1.0
883080404,3,1.0
883080414,3,7.0
883080424,3,1.0
883080434,3,1.0
883080444,3,1.0
883080454,3,1.0
883080464,3,7.0
883080474,3,1.0
883080484,3,1.0
883080494,3,1.0
883080504,3,1.0
883080514,3,1.0
883080525,3,7.0
883080534,3,1.0
883080544,3,1.0
883080554,3,1.0
883080564,3,1.0
883080574,3,7.0
883080585,3,1.0
883080595,3,1.0
883080605,3,1.0
883080615,3,1.0
883080625,3,7.0
883080635,3,1.0
883080645,3,1.0
883080655,3,1.0
883080665,3,1.0
883080675,3,7.0
883080685,3,1.0
883080695,3,1.0
883080705,3,1.0
883080715,3,1.0
883080725,3,7.0
883080735,3,1.0
883080745,3,1.0
883080755,3,1.0
883080765,3,1.0
883080775,3,7.0
883080785,3,1.0
883080795,3,1.0
883080805,3,1.0
883080815,3,1.0
883080825,3,1.0
883080835,3,7.0
883080845,3,1.0
883080855,3,1.0
883080865,3,1.0
883080875,3,1.0
883080885,3,7.0
883080895,3,1.0
883080905,3,1.0
883080915,3,1.0
883080925,3,1.0
883080935,3,7.0
883080945,3,1.0
883080955,3,1.0
883080965,3,1.0
883080975,3,1.0
883080985,3,8.0
883080995,3,2.0
883081005,3,2.0
883081015,3,2.0
883081025,3,2.0
883081035,3,8.0
883081045,3,2.0
883081055,3,2.0
883081065,3,2.0
883081075,3,2.0
883081085,3,9.0
883081095,3,2.0
883081105,3,2.0
883081115,3,2.0
883081125,3,2.0
883081135,3,2.0
883081145,3,11.0
883081155,3,2.0
883081165,3,2.0
883081175,3,2.0
883081185,3,2.0
883081195,3,11.0
883081205,3,2.0
883081215,3,2.0
883081225,3,2.0
883081235,3,2.0
883081245,3,11.0
883081255,3,2.0
883081265,3,2.0
883081275,3,2.0
883081285,3,2.0
883081295,3,11.0
883081305,3,2.0
883081315,3,2.0
883081325,3,2.0
883081335,3,2.0
