game_rotvec,mtk,2026-05-28_21-22-17.484_Active 10 Pro
imuTimestamp,accuracy(more=better),unknown
883069303,3,0.005776,0.045917,-2.72E-4,0.998928
883069313,3,0.005081,0.040138,-2.11E-4,0.999181
883069323,3,5.32E-4,0.03941,-1.22E-4,0.999222
883069333,3,0.004279,0.042268,-2.11E-4,0.999097
883069343,3,0.0037,0.032529,-1.72E-4,0.999463
883069353,3,0.00227,0.03116,0.0,0.999511
883069363,3,0.007279,0.02948,-2.44E-4,0.999538
883069373,3,0.006802,0.01542,-1.22E-4,0.999857
883069383,3,0.003913,0.021332,0.0,0.999764
883069393,3,0.00543,0.023075,-1.22E-4,0.999718
883069403,3,0.003942,0.017542,-1.22E-4,0.999838
883069413,3,0.002163,0.018698,0.0,0.999822
883069424,3,0.008264,0.015448,0.0,0.999846
883069434,3,0.005704,0.014182,0.0,0.999883
883069444,3,0.004926,0.018223,-1.72E-4,0.999821
883069454,3,0.009245,0.023828,-2.44E-4,0.999673
883069464,3,0.00735,0.022118,-2.11E-4,0.999728
883069474,3,0.008151,0.022248,-1.22E-4,0.999719
883069484,3,0.014409,0.028051,-3.86E-4,0.999502
883069494,3,0.014207,0.026669,0.0,0.999543
883069504,3,0.014015,0.02521,3.22E-4,0.999583
883069514,3,0.013838,0.023647,6.22E-4,0.999624
883069524,3,0.01355,0.022089,8.8E-4,0.999663
883069534,3,0.013291,0.020556,0.001071,0.999699
883069544,3,0.013113,0.018915,0.001196,0.999734
883069554,3,0.012885,0.017331,0.001244,0.999766
883069565,3,0.01275,0.015908,0.001244,0.999791
883069575,3,0.012723,0.014532,0.001196,0.999812
883069585,3,0.012702,0.013266,0.001118,0.99983
883069595,3,0.012822,0.012129,9.84E-4,0.999843
883069605,3,0.012961,0.01108,8.71E-4,0.999854
883069615,3,0.013058,0.00988,7.62E-4,0.999865
883069625,3,0.013199,0.008767,6.68E-4,0.999874
883069635,3,0.013417,0.007661,5.72E-4,0.99988
883069645,3,0.013649,0.006738,5.59E-4,0.999884
883069655,3,0.013892,0.006018,5.45E-4,0.999885
883069665,3,0.01418,0.005,6.45E-4,0.999886
883069675,3,0.014404,0.004022,7.62E-4,0.999887
883069685,3,0.014735,0.003241,9.29E-4,0.999885
883069696,3,0.015003,0.002447,0.001158,0.999883
883069706,3,0.015182,0.001397,0.001423,0.999882
883069716,3,0.015384,5.03E-4,0.001717,0.99988
883069726,3,0.015656,-4.04E-4,0.002024,0.999875
883069736,3,0.01579,-0.00137,0.002351,0.999871
883069746,3,0.015866,-0.002363,0.002688,0.999867
883069756,3,0.015971,-0.003459,0.003002,0.999861
883069766,3,0.015958,-0.004593,0.003291,0.999856
883069776,3,0.015901,-0.005677,0.003542,0.999851
883069786,3,0.015815,-0.006808,0.003734,0.999844
883069796,3,0.015605,-0.008061,0.003875,0.999838
883069806,3,0.015364,-0.009265,0.003955,0.999831
883069816,3,0.015118,-0.010486,0.003976,0.999822
883069826,3,0.014816,-0.011657,0.00394,0.999814
883069837,3,0.014595,-0.012722,0.003867,0.999805
883069847,3,0.01439,-0.013664,0.00377,0.999795
883069857,3,0.014193,-0.01444,0.003651,0.999788
883069867,3,0.014056,-0.015119,0.003537,0.99978
883069877,3,0.013832,-0.015707,0.003428,0.999775
883069887,3,0.013603,-0.016465,0.003365,0.999766
883069897,3,0.01331,-0.017232,0.003336,0.999757
