location due to GPS and WiFi+Cell,2026-05-28_21-22-17.484_Active 10 Pro
time,provider,lat (deg),long (deg),has accuracy,accuracy (m),has altitude,altitude (m above sea level),has bearing,bearing (degrees),has speed,speed (m/s over ground),UTC,realtime
883120716,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992592000,883120658090951
883121714,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992593000,883121650658874
883122712,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992594000,883122654444720
883123719,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992595000,883123654157412
883124714,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992596000,883124653113335
883125721,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992597000,883125656913105
883126714,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992598000,883126652953951
883127719,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992599000,883127656752797
883128712,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992600000,883128649824490
883129717,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992601000,883129657144490
883130724,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992602000,883130658987182
883130731,network,55.5246028,37.5104998,1,24.043,1,185.10000610351562,0,0.0,0,0.0,1779992601395,883130037000000
883131719,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992603000,883131651509951
883132718,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992604000,883132656438336
883133724,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992605000,883133659165028
883134724,gps,55.52472833333333,37.510594999999995,1,1.4,1,186.7,1,325.53,1,0.0,1779992606000,883134658862951
883135726,gps,55.524723333333334,37.51058833333333,1,1.4,1,184.5,1,130.67,1,0.34229028,1779992607000,883135660602336
883136717,gps,55.524719999999995,37.510596666666665,1,1.4,1,184.5,1,135.71,1,0.37626195,1779992608000,883136657283567
883137721,gps,55.524719999999995,37.51060333333333,1,1.4,1,184.5,1,121.26,1,0.42207223,1779992609000,883137658703875
883138711,gps,55.52471666666667,37.51060666666667,1,1.4,1,184.6,1,162.74,1,0.50906026,1779992610000,883138651639182
883139717,gps,55.52471666666667,37.51061,1,1.4,1,184.4,1,318.11,1,0.5214136,1779992611000,883139658512106
883140717,gps,55.524719999999995,37.51060833333334,1,1.4,1,184.4,1,299.24,1,0.5018542,1779992612000,883140653306029
883141723,gps,55.524721666666665,37.51060666666667,1,1.4,1,184.29999999999998,1,267.1,1,0.4843536,1779992613000,883141658849336
883142712,gps,55.524725000000004,37.51060666666667,1,1.4,1,184.29999999999998,1,71.5,1,0.46016166,1779992614000,883142652574875
883143716,gps,55.524723333333334,37.51060666666667,1,1.4,1,184.2,1,171.68,1,0.45655861,1779992615000,883143656423260
883144713,gps,55.524725000000004,37.51060333333333,1,1.4,1,184.0,1,295.2,1,0.0,1779992616000,883144660044721
883145722,gps,55.524723333333334,37.51060333333333,1,1.4,1,184.0,1,162.28,1,0.0,1779992617000,883145653377644
883146719,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992618000,883146654938875
883147715,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992619000,883147656830568
883148705,gps,55.524725000000004,37.510605000000005,1,1.3,1,184.0,1,332.22,1,0.0,1779992620000,883148652727260
883149720,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992621000,883149656029029
883150725,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992622000,883150662846952
883150753,network,55.5247727,37.5104557,1,35.915,1,185.10000610351562,0,0.0,0,0.0,1779992617714,883146356000000
883151724,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992623000,883151662682029
883152724,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992624000,883152664016491
883153715,gps,55.524725000000004,37.510605000000005,1,1.4,1,184.0,1,332.22,1,0.0,1779992625000,883153655739183
